Article Count,512,256,128
10,4,7,9,10.44462713599205
1,2,6,19,15.290337979793549
12,2,10,11,12.674524635076523
7,2,12,7,12.498684883117676
9,3,8,11,13.772520869970322
8,6,5,5,9.306152880191803
7,4,7,9,12.424814075231552
3,4,7,9,13.052485287189484
8,4,7,9,11.402273893356323
2,3,10,7,13.414829045534134
4,5,5,9,11.230464190244675
5,3,8,11,12.474565774202347
2,4,6,11,12.316198289394379
12,4,8,7,10.837492197751999
5,4,5,13,13.860841304063797
11,2,11,9,11.87207043170929
10,2,8,15,13.9271240234375
4,3,7,13,12.984138637781143
1,2,15,1,11.895696759223938
9,2,10,11,13.19413647055626
18,2,14,3,9.463624089956284
6,2,11,9,13.608979135751724
5,2,10,11,13.548400908708572
2,3,10,7,13.528610661625862
3,2,10,11,14.65239429473877
11,0,14,11,13.321018248796463
11,3,7,13,13.63190770149231
8,2,9,13,12.815258204936981
14,2,8,15,14.303197920322418
8,6,6,3,8.209107786417007
1,2,4,23,17.35250499844551
7,1,13,9,11.942964792251587
16,1,13,9,13.750131130218506
4,2,9,13,14.58048751950264
5,4,5,13,12.792904645204544
12,3,12,3,9.820416182279587
9,3,7,13,13.758479416370392
6,5,6,7,11.174960553646088
5,0,9,21,16.44418889284134
4,2,9,13,13.454496413469315
9,1,11,13,12.960293054580688
1,4,9,5,11.69146791100502
10,3,10,7,11.669908165931702
5,2,11,9,12.545471221208572
1,3,9,9,12.625116467475891
6,6,3,9,10.226392358541489
1,5,8,3,10.330274820327759
7,1,8,19,14.95998415350914
16,1,13,9,12.65395474433899
12,4,7,9,10.446138262748718
15,2,12,7,10.880545109510422
2,3,5,17,15.66075673699379
7,3,8,11,12.861912190914154
1,4,9,5,10.740759044885635
2,1,12,11,13.186401337385178
10,3,9,9,11.798809289932251
2,2,10,11,13.652523308992386
1,1,9,17,16.32548624277115
1,2,11,9,13.496085822582245
13,3,10,7,9.98994380235672
2,0,9,21,18.774052172899246
1,5,7,5,10.435936391353607
