128,ss_128,256,ss_256,512,ss_512
20,19.937249422073364,10,9.703124195337296,4,4.65059033036232
1,21.804249495267868,1,10.496775507926941,1,4.873050510883331
17,21.060135036706924,12,10.279433101415634,7,4.855743318796158
6,22.80918526649475,7,11.18365302681923,5,5.281528055667877
16,24.07006374001503,8,11.705430895090103,4,5.562855273485184
20,21.631391048431396,12,10.583081722259521,7,5.133403837680817
11,24.04531466960907,9,11.571458727121353,5,5.43296492099762
4,24.31466442346573,4,11.906364113092422,3,5.742755472660065
16,21.960706174373627,10,10.617504239082336,3,5.1010191440582275
2,25.284492164850235,2,12.48521476984024,2,5.9524553418159485
15,22.001977801322937,6,10.875334560871124,5,5.256166875362396
11,21.352807134389877,7,10.467091739177704,3,4.9835343062877655
6,22.14072385430336,3,10.8426972925663,1,5.170174032449722
26,21.870106488466263,13,10.538748681545258,7,5.065156906843185
10,24.152217000722885,5,11.652758538722992,2,5.533258378505707
21,21.040784865617752,10,10.093918651342392,6,4.780644565820694
13,21.842211067676544,8,10.421032398939133,6,4.821132481098175
8,22.004095554351807,4,10.582887977361679,2,5.064252018928528
1,24.93187215924263,1,12.432677417993546,1,5.910288631916046
13,22.07085606455803,7,10.730743408203125,5,5.030572801828384
17,20.291280508041382,19,9.437649637460709,9,4.465291261672974
11,23.908821314573288,6,11.65883818268776,5,5.457865327596664
14,22.511042773723602,5,11.072781503200531,3,5.15934145450592
2,25.324031338095665,2,12.507325023412704,2,5.907975256443024
8,24.306651383638382,3,11.836248517036438,1,5.605100214481354
17,20.956869930028915,8,9.950649172067642,4,4.55304417014122
21,22.488495349884033,14,10.875682026147842,8,5.073423624038696
13,20.83099067211151,7,9.953959822654724,4,4.666997402906418
23,22.18912449479103,14,10.770302474498749,6,5.0752972066402435
26,20.761277973651886,13,10.167600214481354,5,4.902613997459412
2,23.19222718477249,1,10.996874243021011,1,5.136799156665802
15,20.043517231941223,8,9.757295608520508,3,4.633065849542618
22,23.129334062337875,15,11.203998446464539,9,5.2948828637599945
6,23.138736724853516,3,11.2294160425663,2,5.287618428468704
11,21.96822839975357,5,10.637910574674606,3,5.046914160251617
28,21.09946683049202,14,10.263397186994553,8,4.858641445636749
12,23.031167328357697,8,11.175498902797699,3,5.27298903465271
16,22.7289776802063,8,11.248206704854965,5,5.420728415250778
7,21.374433875083923,4,10.227388590574265,6,4.413295686244965
7,21.80838894844055,5,10.439276188611984,3,4.884437471628189
16,20.103100508451462,5,9.781916230916977,9,4.297619819641113
1,24.542048454284668,1,12.124094367027283,1,5.790021240711212
23,22.459182888269424,11,10.966425448656082,8,5.187269419431686
9,21.77179017663002,4,10.600330829620361,5,5.007312655448914
2,22.782829016447067,1,11.263856589794159,1,5.307087391614914
19,21.753942400217056,8,10.497846156358719,3,5.063154518604279
1,23.779499024152756,1,11.959250539541245,1,5.773614048957825
9,20.72894060611725,6,9.944695681333542,3,4.675242334604263
23,21.397435039281845,11,10.401442497968674,7,4.796123888072446
22,20.38438805937767,12,9.68444174528122,8,4.592008680105209
29,19.828042536973953,15,9.785211265087128,6,4.547158509492874
4,23.999322950839996,2,11.539620846509933,2,5.427141189575195
11,21.754407793283463,8,10.80406340956688,4,5.05400288105011
12,22.087004899978638,6,11.027451872825623,2,5.285617560148239
4,20.768407613039017,1,10.255594968795776,1,4.7472624480724335
21,22.119795590639114,12,10.5289666056633,6,4.949889928102493
6,22.519476175308228,2,11.121668070554733,2,5.315898269414902
1,23.288308173418045,1,11.201844930648804,1,5.144553929567337
3,23.195044308900833,2,11.475551158189774,1,5.305212020874023
26,19.210310578346252,15,9.241224884986877,7,4.411367028951645
2,24.4062240421772,1,11.618915230035782,2,5.30740362405777
4,23.094118297100067,1,11.366694569587708,1,5.474324494600296
25,20.273351848125458,15,9.792385220527649,9,4.532815933227539
3,23.22803896665573,1,11.432327419519424,1,5.42692831158638
16,21.20912605524063,8,10.323954313993454,7,4.7854025065898895
14,20.41691744327545,8,9.804007947444916,5,4.620609909296036
8,22.29508873820305,6,10.91625851392746,2,5.134332716464996
19,20.327060163021088,10,9.775394767522812,3,4.622581332921982
6,23.140129029750824,1,11.4712153673172,1,5.477035373449326
1,25.349502846598625,1,12.211481183767319,1,5.722348868846893
9,22.55196386575699,3,10.905429720878601,4,5.12122517824173
5,23.905027210712433,2,11.969677746295929,2,5.801125794649124
3,24.97203627228737,1,12.185916125774384,1,5.756929636001587
20,19.86997844958254,11,9.418802797794342,6,4.529574513435364
1,23.833571314811707,1,11.417393535375595,1,5.288871556520462
2,24.72406956553459,1,12.42645850777626,1,5.912364691495895
23,19.657769411802292,15,9.405138671398163,7,4.429653167724609
5,23.196757435798645,3,11.295559495687485,2,5.335574358701706
27,20.845576614141464,12,9.98498222231865,6,4.580673277378082
17,20.227917343378067,11,9.907480955123901,5,4.741836905479431
1,22.225687354803085,1,10.681296437978745,1,5.042512089014053
24,21.715068697929382,13,10.546246737241745,8,4.857986569404602
20,20.57360342144966,4,10.166679382324219,3,4.887869566679001
19,21.089976131916046,9,10.174770325422287,3,4.87757071852684
22,21.759684801101685,13,10.657331347465515,5,4.958041846752167
24,21.39111888408661,11,10.295929223299026,7,4.794538110494614
16,22.56635081768036,5,11.060023844242096,2,5.2863589823246
5,21.42003521323204,3,10.553123623132706,4,4.763099789619446
6,23.247641623020172,4,11.438266843557358,2,5.467962294816971
2,23.954587131738663,1,11.636143654584885,1,5.487902402877808
24,20.619948267936707,12,10.112362414598465,8,4.801099509000778
2,24.708398938179016,1,12.106536984443665,1,5.741632968187332
20,22.292846649885178,9,10.73408529162407,6,5.162069529294968
12,20.956366002559662,6,10.013424724340439,4,4.7032546401023865
17,21.34927487373352,6,10.213414579629898,5,4.773098200559616
10,23.082232177257538,3,11.37038916349411,3,5.379421204328537
20,20.11892279982567,13,9.709021389484406,8,4.642440050840378
12,21.43082958459854,6,10.425008207559586,3,4.986583560705185
25,21.873123317956924,14,10.604036569595337,7,4.990563303232193
1,23.090961664915085,1,11.25252452492714,1,5.3379227221012115
7,23.278459548950195,3,11.443870157003403,2,5.559370219707489
7,22.061894863843918,2,10.961797446012497,2,5.081063747406006
27,21.990833938121796,16,10.644962549209595,8,5.009991139173508
6,22.992020815610886,3,11.464509934186935,2,5.590219706296921
9,22.701896965503693,3,11.04588171839714,7,4.918503046035767
4,24.10429483652115,2,12.276189774274826,1,5.82624489068985
15,20.920677602291107,8,10.273341059684753,5,4.838434875011444
6,23.298145055770874,4,11.427330166101456,3,5.419778436422348
21,20.493118971586227,8,9.794306814670563,7,4.536206632852554
17,21.74147579073906,13,10.549009948968887,7,4.888099908828735
3,23.63771826028824,1,11.50499016046524,1,5.425002157688141
10,18.95679023861885,7,9.263411700725555,3,4.259197562932968
3,22.325191020965576,2,10.839762330055237,2,5.10139936208725
12,22.69508668780327,7,11.030463248491287,4,5.2003493309021
19,22.63276505470276,9,11.09089320898056,6,5.223997384309769
22,21.039677679538727,12,10.173398435115814,7,4.828211158514023
8,21.841797918081284,7,10.690350770950317,4,4.971130341291428
14,20.964201033115387,9,10.238689869642258,4,4.804732650518417
13,22.344682693481445,9,11.044187188148499,6,5.300964921712875
9,21.34112623333931,4,10.394936889410019,2,5.023508310317993
5,23.982870429754257,3,11.706625074148178,3,5.610975950956345
13,20.95852991938591,11,10.318390667438507,5,4.7936118841171265
16,21.094724357128143,9,10.16424909234047,4,4.754771828651428
30,20.39098772406578,16,9.918979972600937,9,4.698185384273529
1,22.934609085321426,9,10.033923327922821,2,5.048676609992981
18,19.96817347407341,11,9.52248540520668,6,4.4307970106601715
12,23.4705371260643,6,11.522889465093613,3,5.462828665971756
22,22.524819552898407,10,10.893436074256897,6,5.118907541036606
10,22.248162418603897,4,10.981957733631134,2,5.219502568244934
13,21.38709881901741,9,10.149551808834076,3,4.671910256147385
19,20.627235859632492,12,10.045009851455688,6,4.708744376897812
4,21.488165318965912,3,10.61947026848793,1,5.118414580821991
22,21.907568484544754,14,10.55874514579773,8,5.004768431186676
6,21.753881603479385,2,10.689844459295273,1,5.179533392190933
8,22.454125493764877,6,10.91571033000946,1,5.144941598176956
