Article Count,512,256,128
5,3,10,7,13.44675424695015
2,0,17,5,13.091679185628891
1,3,12,3,12.88634392619133
5,3,12,3,10.758439630270004
7,4,6,11,13.361169040203094
3,2,15,1,11.32759952545166
1,4,9,5,11.866504043340683
5,3,9,9,12.866639584302902
1,2,12,7,14.42777693271637
5,1,14,7,12.706107020378113
1,5,8,3,10.759587466716766
2,3,11,5,13.319301128387451
1,3,11,5,13.355205357074738
4,3,9,9,14.014818012714386
9,1,13,9,12.552450060844421
1,3,13,1,11.824066132307053
12,1,14,7,11.18067929148674
4,2,11,9,14.39853948354721
5,3,9,9,13.12969172000885
5,3,12,3,11.596960216760635
5,3,10,7,11.586461961269379
3,1,16,3,13.447374701499939
1,5,8,3,11.285390555858612
5,2,14,3,12.00165393948555
1,4,10,3,11.481050491333008
3,3,11,5,12.670185983181
6,3,8,11,12.60561066865921
3,2,13,5,14.317371875047684
4,2,13,5,12.50677175132912
4,2,11,9,13.841052293777466
1,4,11,1,10.009011000394821
4,3,12,3,11.516724467277527
1,4,9,5,11.311395138502121
9,1,14,7,12.96380963921547
3,3,11,5,11.352757036685944
1,3,13,1,10.851690828800201
3,3,6,15,14.392414897680283
1,5,8,3,10.623848974704742
2,3,13,1,9.683002173900604
1,3,12,3,11.985089987516403
1,3,12,3,11.83940315246582
5,3,9,9,13.36201336979866
1,4,11,1,10.922827363014221
4,4,10,3,10.0151646733284
2,2,13,5,12.643906682729721
3,4,7,9,10.405963003635406
4,3,10,7,10.607013016939163
2,2,14,3,11.622952729463577
4,4,10,3,10.866999417543411
3,2,14,3,12.203983662118183
2,3,11,5,11.70454815030098
6,3,8,11,13.939002081335682
7,2,11,9,12.894171297550201
3,5,6,7,11.403401106595993
3,2,13,5,13.00698846578598
1,4,11,1,10.434627056121826
2,3,13,1,11.096456378698349
5,4,10,3,9.607494205236435
3,4,4,15,13.3161062002182
1,2,14,3,11.453096747398376
3,3,8,11,13.496693879365921
1,4,10,3,12.961786091327667
2,2,11,9,15.695712685585022
1,5,9,1,9.807934284210205
6,2,14,3,11.798211544752121
1,3,10,7,12.946421414613724
4,4,8,7,11.352173775434494
6,2,14,3,11.352718442678452
4,3,10,7,12.457029730081558
6,2,12,7,12.69852888584137
7,4,8,7,11.831918239593506
1,4,10,3,12.095178306102753
5,4,8,7,11.432208567857742
3,2,13,5,10.731034368276596
2,5,7,5,10.506416350603104
5,3,9,9,14.999135613441467
3,3,8,11,13.784875214099884
6,1,12,11,12.619847804307938
4,2,10,11,14.806092888116837
1,4,9,5,12.923529013991356
6,4,8,7,10.01612600684166
6,2,10,11,15.638376578688622
7,1,14,7,14.008810371160507
3,3,9,9,12.751173228025436
4,2,14,3,11.349495589733124
3,5,9,1,9.999283373355865
5,1,15,5,13.963643193244934
1,4,9,5,11.467319399118423
10,3,10,7,11.568179428577423
4,3,9,9,13.52531436085701
1,5,7,5,11.69302973151207
2,5,8,3,10.598946243524551
4,2,12,7,12.193821668624878
8,2,11,9,12.87355992272519
7,3,7,13,14.725032389163971
2,2,15,1,11.738842383027077
2,4,10,3,10.902063459157944
8,4,7,9,13.10883516073227
2,3,12,3,10.65107986330986
3,4,9,5,11.18785759806633
1,3,12,3,12.478757798671722
1,4,11,1,10.397780269384384
1,3,10,7,12.972143292427063
1,5,7,5,11.049073487520218
1,4,9,5,11.455690413713455
3,5,6,7,12.509662300348282
3,2,13,5,13.866219729185104
6,2,11,9,13.248362600803375
5,5,8,3,10.30503386259079
1,3,13,1,11.953884720802307
2,3,10,7,12.35166084766388
2,3,12,3,12.915251314640045
2,3,12,3,11.748333424329758
5,4,9,5,10.734029829502106
4,4,8,7,12.36871612071991
5,3,12,3,11.429145514965057
6,5,4,11,11.01016965508461
4,5,5,9,11.577158361673355
2,3,12,3,10.411331623792648
3,2,13,5,12.672696888446808
2,1,14,7,14.459139615297318
1,2,11,9,14.106803357601166
5,1,13,9,14.43964621424675
4,5,7,5,11.41224291920662
2,3,12,3,12.52049970626831
1,4,11,1,10.754307985305786
1,4,11,1,10.870641231536865
1,2,14,3,13.219482481479645
1,3,13,1,11.123745322227478
3,4,9,5,10.710704445838928
2,6,5,5,9.240486323833466
3,4,10,3,10.734220385551453
1,3,13,1,10.888620555400848
3,3,10,7,13.339186400175095
4,4,9,5,10.498895168304443
1,3,12,3,10.64106771349907
3,3,13,1,10.87474125623703
4,2,10,11,15.725223690271378
1,2,13,5,12.54916301369667
2,2,9,13,13.549374103546143
4,1,15,5,12.879919111728668
1,3,13,1,10.528321623802185
6,1,16,3,11.594029873609543
5,3,9,9,14.075705647468567
1,3,11,5,11.93527227640152
4,4,8,7,11.984802663326263
1,4,11,1,10.429510802030563
1,6,6,3,10.099026471376419
6,4,10,3,11.255972922453322
2,3,12,3,12.54097893834114
3,5,8,3,10.649461641907692
1,4,11,1,11.765169009566307
1,3,12,3,12.462675750255585
3,4,10,3,9.870085686445236
3,4,8,7,12.128369361162186
3,4,7,9,14.13217806816101
1,3,9,9,13.20534011721611
4,3,11,5,11.241724759340286
7,2,12,7,12.423909187316895
2,5,8,3,10.905351519584656
4,3,9,9,13.030652642250061
1,4,11,1,10.329157561063766
3,4,8,7,9.553350985050201
1,4,6,11,13.400214195251465
2,2,13,5,11.744903445243835
1,4,9,5,12.498975843191147
6,1,13,9,14.68202269077301
3,5,8,3,10.474719554185867
2,3,13,1,11.108926087617874
1,5,8,3,10.52225935459137
4,4,8,7,11.149583876132965
2,3,11,5,11.188990473747253
8,2,11,9,12.442969262599945
5,1,12,11,13.525945782661438
2,4,11,1,12.297258019447327
2,3,11,5,11.777643352746964
3,2,12,7,13.668402522802353
2,4,10,3,11.094837754964828
4,3,12,3,11.668456852436066
2,6,5,5,11.28871801495552
3,3,9,9,12.045167810070286
2,4,10,3,11.201339840888977
3,4,10,3,10.549181789159775
2,4,10,3,11.860370576381683
7,3,10,7,12.805432707071304
3,4,10,3,11.78929302938073
3,3,10,7,12.506874799728394
1,3,12,3,12.825018614530563
4,3,12,3,10.729970425367355
1,4,10,3,11.426275074481964
5,2,13,5,12.243582755327225
3,4,9,5,11.733494967222214
6,3,12,3,11.132810086011887
1,5,6,7,11.934839427471161
2,3,10,7,13.483007848262787
6,4,7,9,12.441057845950127
7,2,11,9,13.057692795991898
4,3,11,5,12.036945551633835
7,4,6,11,11.42706573009491
2,4,10,3,10.810986697673798
3,3,10,7,13.121658951044083
4,3,12,3,11.174884170293808
6,3,8,11,12.40359452366829
3,5,8,3,9.694048047065735
5,1,13,9,13.516946643590927
1,4,10,3,10.163348287343979
10,1,14,7,13.247469335794449
4,5,8,3,9.977375954389572
1,2,12,7,12.959724396467209
8,1,11,13,14.497574657201767
1,1,14,7,15.329588860273361
1,3,13,1,11.998106867074966
1,3,11,5,12.156097531318665
11,2,13,5,11.237387895584106
4,5,5,9,11.43969839811325
6,2,14,3,12.008872509002686
5,3,8,11,12.692810386419296
1,5,9,1,9.960061699151993
6,4,10,3,10.21253815293312
1,4,10,3,10.631859868764877
2,4,9,5,11.565410315990448
2,0,14,11,16.371211051940918
3,5,8,3,10.94965797662735
2,3,10,7,13.567879527807236
1,3,11,5,12.490538001060486
8,0,14,11,13.644435942173004
2,5,7,5,12.356510728597641
6,2,10,11,13.602850764989853
2,3,12,3,11.2554991543293
1,4,11,1,10.59682223200798
7,4,8,7,12.873552709817886
1,4,9,5,10.381482660770416
4,3,12,3,11.815770298242569
2,5,9,1,9.936999797821045
2,4,5,13,13.48803198337555
1,2,11,9,14.038425832986832
1,2,14,3,12.294008791446686
4,1,13,9,14.202931851148605
4,2,10,11,14.672169119119644
1,5,9,1,11.244271159172058
7,2,10,11,13.84460144583007
1,4,9,5,12.456444516777992
3,1,14,7,13.954386353492737
12,3,9,9,12.429278999567032
2,4,11,1,9.909011006355286
