128,ss_128,256,ss_256,512,ss_512
19,19.25067886710167,11,9.49190902709961,7,4.477011859416962
22,20.4136401116848,11,9.987685579958004,7,4.7724821050703845
22,16.867632925510406,11,8.309929072856903,6,3.979216456413269
25,17.317347526550293,13,8.476920247077942,6,4.0008664727211
22,17.890751678929757,13,8.650401233885972,8,4.091308653354645
27,18.776068180799484,12,9.100772678852081,9,4.297782982226594
24,18.549785236300792,13,9.085677749955847,8,4.287683344681212
24,18.44455145882287,11,8.954011499881744,7,4.135700395408566
28,20.020971495386597,13,9.68418762087822,8,4.544389898291421
17,20.38582155108452,10,9.935195066484557,8,4.700793670215868
30,20.09354176940763,14,9.6116931038719,9,4.445055711002232
20,19.442853464093055,12,9.547277149947167,6,4.494710942009936
17,17.79934999346733,10,8.759857833385468,7,4.241483411241921
23,18.669372828093223,15,9.128606726666288,8,4.264664838622856
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
33,17.481387615203857,16,8.654870772485275,8,4.084195536208727
24,18.254565690990578,14,8.967638405111277,7,4.26337996730873
13,20.535858511924744,7,10.073275743365333,4,4.912153119148319
21,19.1115865111351,12,9.388088166713715,8,4.4840634709275475
26,18.41804672070387,12,8.90099747271385,9,4.1727845687774385
24,17.789960265570727,14,8.763619399402833,8,4.207244157791138
18,19.174454391002655,10,9.447800920214927,7,4.474878864112489
16,19.080884276829305,11,9.598014175891876,7,4.555374056100845
19,19.787826359272003,12,9.738852091461817,6,4.731013263415665
26,17.319040179252625,13,8.325398142777825,6,3.9810351133346558
24,18.599063071449727,15,8.976442467488086,8,4.257489651441574
24,19.39672649303519,15,9.336791803047493,7,4.433682535174671
17,20.518447071313858,13,10.070950359106064,7,4.665385514497757
24,20.763067661658624,14,9.918403817536083,9,4.57549375295639
17,20.116727977991104,11,9.760660946369171,7,4.623097092959487
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
19,20.996239811182022,10,10.396918879713121,6,5.053494840860367
15,20.33768355846405,8,10.182402552642255,5,4.9446410097760385
22,17.170323794383055,12,8.512665161856503,6,4.015904768874747
25,20.599647879600525,12,9.927950317139492,8,4.7134150469561575
24,19.065416656435403,14,9.268279787184328,9,4.341648390968599
20,20.44669898557249,12,10.101843659395309,8,4.821532208355758
24,18.42075479030609,14,8.803142214803124,9,4.175524638791943
22,20.092542642932223,13,9.654180891342651,7,4.466334943476103
21,18.87606981396675,14,9.139606952667236,8,4.3029356824974565
20,17.906222999095917,14,8.729876800803655,8,4.091761198666618
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
22,19.7491375207901,14,9.583440780639648,9,4.535777777433395
15,20.700398176402448,8,10.22614672780037,6,4.857025533914566
20,20.1277373016688,13,9.887993228936963,6,4.714121053051337
18,21.249048054218292,12,10.404678512070504,7,4.9344368362863875
28,17.776402592658997,15,8.680478066205978,7,4.1832255423069
22,18.91157254576683,14,9.26317447423935,7,4.415184497833252
22,19.144653801337657,12,9.20635792522039,7,4.415279056336313
24,20.001709550619125,14,9.668093115091324,9,4.545995880987082
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
17,20.922320003921804,9,10.234445035457611,5,4.893128077567592
14,19.719918558520025,8,9.664167702198029,6,4.55445031729502
16,20.067466929875035,9,9.831394974675534,5,4.505935266605381
17,20.002523720264435,12,9.757531828108704,6,4.670456959439541
21,19.629130423069,14,9.802627047566972,8,4.735086802615861
31,15.047728639119951,17,7.322705388069153,8,3.5298112140656865
18,18.894783724080447,11,9.131804532078949,7,4.215770144897883
22,18.14873057603836,12,8.831805109977722,9,4.173721551895142
22,20.565921230066913,14,9.841386675538214,8,4.596510851261238
25,18.23733776807785,14,8.775022945714186,8,4.125097422081517
25,15.574020754539141,12,7.608330845832825,6,3.6431769132614136
17,19.498230785131454,10,9.736309289932251,7,4.705303639173508
11,20.041351914405823,5,9.925243943929672,3,4.75237974524498
15,19.404989748726024,9,9.58847847160475,6,4.547790512707828
19,18.751057863235474,11,9.104553163051605,8,4.26390937614467
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
21,18.765986502170563,13,9.05640572309494,7,4.247599147463318
28,19.150587722251142,12,9.242990552704308,8,4.389895156720126
20,20.064946342498256,13,9.841425265494605,7,4.706872671842575
15,20.439972241401637,12,10.076299681894774,7,4.811878688205462
22,19.06762882538736,11,9.355838982617861,6,4.467311156577977
24,18.904816573984185,14,9.217725293809234,9,4.31551062775318
17,18.46618938446045,9,9.113541036844254,6,4.2827776074409485
25,18.322752207517624,13,8.999076668384184,9,4.286012426993671
17,20.540886079057888,10,9.98095777630806,7,4.7335292159647215
18,19.328651413786208,10,9.624560067794793,6,4.603729583488373
23,17.8012216091156,11,8.556073286032852,8,4.0204303012940885
19,17.437790541886443,11,8.82017782330513,6,4.139467120170593
23,20.801981598852368,13,9.965458967086605,7,4.736664884176326
11,19.486184149980545,7,9.620130479335785,5,4.565155416727066
25,19.747609760057433,11,9.466904115138567,7,4.4721439480781555
19,18.93329556235766,12,9.284948576513447,6,4.458003051021423
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
31,18.04488682354024,16,8.810509792829116,9,4.223647952079773
17,18.43853230986188,11,8.95783358720529,7,4.2073861956596375
25,19.695973336696625,14,9.448239824742943,7,4.487096667289734
24,19.778885463130212,14,9.806051389981691,8,4.644515377422913
22,18.44054278606314,13,8.797745619965866,8,4.210816204547882
18,20.436149780816226,9,10.14696495655933,5,4.874275864452972
21,17.40758414799762,14,8.424019751778372,8,3.866238905731606
18,19.630900591611862,10,9.65383180975914,7,4.574474930763245
27,19.104670077562332,14,9.287360684946858,9,4.356604963541031
22,19.647038115098574,12,9.589020346830186,9,4.597806654269266
19,18.88765053596569,11,9.018336900163769,6,4.259365051984787
9,20.48313319683075,7,10.156372368335724,4,4.81742861866951
9,20.579456953190927,6,10.145377516746521,5,4.654652893543243
14,19.81256817031691,10,9.709621555854227,6,4.682224010177914
26,18.86986321427216,14,9.084404166549946,8,4.2270457652331785
20,21.376295179128647,14,10.403041465276026,8,4.986016958919969
24,19.595371095132794,14,9.533489223825505,8,4.494383007287979
17,19.02887561917305,11,9.463167180017223,8,4.39464658498764
20,21.161213517189026,15,10.3827415906246,8,4.99709581435849
16,19.777330587614173,10,9.447761595249176,6,4.413991957902908
12,20.51398282023951,9,10.124687790870667,6,4.872371673583984
14,16.73028737306595,8,8.332509219646454,5,4.010813891887665
19,20.10151966915504,11,9.98219159337709,7,4.791790481358191
19,18.793924808502197,10,9.207743287086487,7,4.268376215652347
25,19.577355355024338,14,9.492248245859116,7,4.578185083946246
20,20.489159256219864,11,9.994315108617425,6,4.77515813305058
21,18.455141185516926,13,8.945707647521,8,4.175851600487491
13,19.65278449654579,8,9.914133459329605,5,4.8212541906832564
23,18.687251567840576,14,9.143681794404984,8,4.379186473113967
22,17.91428961791775,15,8.783295304536502,8,4.209102012146556
19,19.393881756351675,13,9.480785071849823,8,4.4772820472717285
16,18.1309934258461,10,8.887758612632751,9,4.1597923040390015
23,20.0636943071297,12,9.596179660758786,7,4.521764223320885
13,20.237450828107125,10,9.913215577602386,8,4.6958671338234
26,15.977191484405045,16,7.852793325513087,8,3.7883954546352263
21,21.351876735687256,13,10.175331562757492,8,4.81316676735878
22,18.695212948760748,14,9.08828339662086,8,4.292402863502502
22,21.236535727977753,11,10.11096118760175,8,4.73885527910991
22,19.025672435760498,14,9.323198735713959,7,4.531582027673721
15,19.687929928302765,11,9.62268379330635,7,4.559416800737381
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
18,19.525908679345942,9,9.720181744513226,7,4.687539099041885
25,17.70430149614432,13,8.675873845815659,7,4.083175003528595
11,21.58280752694781,7,10.626986175775528,4,5.087153252127406
24,19.243370682001114,14,9.243614027170356,9,4.1990500675512
19,16.91072296825021,12,8.261954128742218,8,3.972595386787523
31,19.262136781249716,15,9.475909173488617,9,4.466158006192123
27,18.83377921744081,14,9.051714987021668,9,4.294627420884954
19,19.395988553762436,11,9.518820494413376,8,4.493933826684952
17,19.046127319335938,11,9.375242521630604,8,4.39928698791166
18,19.562623023986816,10,9.503382861614227,7,4.54709746014457
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
23,17.30639718226132,14,8.51015111469963,7,4.013686716556549
15,20.448129534721375,11,9.978780925273895,8,4.703386068344116
24,20.732481330633163,16,9.849221299107725,9,4.610017761049848
17,19.226468192205644,11,9.266327323305612,8,4.477473944425583
20,18.671597480773926,12,9.09307401346421,8,4.354264625328778
23,19.478034203265192,12,9.449895863257144,8,4.481846715892995
23,18.41578214855895,13,9.057328701019287,9,4.293145204984895
16,20.04502254078742,9,9.846111595109672,8,4.693593050449261
24,20.082104791500345,12,9.860655584782798,7,4.744138926267624
17,21.850049525499344,10,10.916160464286804,6,5.227693259716034
18,20.883304566144943,14,10.001965316990379,9,4.727276612565104
23,18.833713074888756,13,9.107686580454889,7,4.290275700182699
26,16.094362615595188,14,7.868985727366807,9,3.7097162242934996
16,19.939866930246353,12,9.911161093092774,7,4.742230272728228
17,18.636290550231934,11,9.3042640830971,6,4.477449605337409
21,20.210086792707443,11,10.011661531787913,7,4.906538170505403
21,19.03835395722913,11,9.341899394989014,8,4.492370218038559
16,20.20370614528656,8,10.202389270067215,6,4.963209587510948
21,18.65758580898869,13,9.019774730418693,8,4.282087701139276
29,19.043131802781446,13,9.284236572792311,7,4.439021843452271
21,18.762558341026306,13,9.14341339468956,6,4.318394398943535
20,18.336684614419937,13,8.905139287745893,7,4.244114319723554
23,18.963415172504895,13,9.295421269597458,8,4.308390858181449
23,17.643882274627686,13,8.727688486581895,8,4.173791487039012
22,18.77574610710144,12,9.199366182088852,8,4.316234767436981
25,18.124873608350754,16,8.534322527380166,9,3.9118594043768544
18,19.2795735028812,12,9.14992442727089,7,4.235737323760986
27,18.389919370412827,16,8.78350487591407,9,4.12356573343277
29,18.810233089209675,15,9.002992587329711,9,4.1980544663294355
15,20.654360055923462,7,10.081049591302872,6,4.7324448227882385
19,17.67848601798183,12,8.611595527047152,8,4.007666953744
17,19.33795002102852,10,9.628751993179321,6,4.530285326861209
23,16.50465416908264,13,7.915990641965211,9,3.7308740481268434
21,19.708999756364143,13,9.502949946488977,8,4.462752681412077
24,20.403631675054545,18,9.758017650130329,9,4.569201945505373
28,18.262656976182754,15,8.93400809365744,8,4.24441185593605
11,21.68258312344551,4,11.038682013750076,3,5.311766624450684
26,16.930775940418243,15,8.348385142070507,9,3.984507657600823
21,18.79669600725174,12,9.168752833123527,8,4.3886200493757
10,21.913930624723434,6,10.99592317717378,4,5.3077930372646955
22,18.685522705316544,14,8.811966178200302,8,4.13203607051097
23,17.110605537891388,11,8.324611365795135,7,3.996385288275502
20,18.423554450273514,10,9.105609446763992,7,4.204189822126353
20,17.785936057567596,10,8.731290757656097,8,4.126210987567902
17,19.53795811533928,11,9.670088850321696,7,4.657606661319733
17,19.43968759732176,11,9.613737830451562,7,4.628641652358602
23,20.336648851633072,12,9.758828214295962,6,4.625883746186748
