Article Count,512,256,128
13,0,15,9,11.971876621246338
12,2,11,9,11.786681253614468
11,1,15,5,9.261354327201843
16,0,17,5,9.872732996940613
16,0,15,9,11.103394377653492
15,1,13,9,11.223549991846085
14,1,14,7,10.66187999352236
13,0,17,5,10.412079903659386
14,1,13,9,11.88563835915149
12,0,16,7,12.224412687572585
15,1,13,9,11.829463116086714
11,1,15,5,10.6363082502203
12,1,15,5,9.749409079551697
16,0,17,5,10.612466563721494
15,1,12,11,11.447817452986438
15,1,12,11,11.447817452986438
16,2,12,7,9.807456398133773
16,0,17,5,10.435377629545176
3,3,11,5,10.745570584141383
13,0,16,7,11.52574211359024
17,0,15,9,11.295479199082544
11,3,13,1,8.014364265831771
13,1,14,7,10.970413640942848
12,1,16,3,10.084097802639008
14,2,12,7,10.994456976652145
14,2,10,11,10.344525626122813
14,2,11,9,10.658040997384793
16,2,9,13,12.161219535766056
15,0,16,7,12.155594259500504
18,0,11,17,14.698512629137232
12,1,14,7,11.366757571697235
15,1,12,11,11.447817452986438
9,3,12,3,10.296007322038713
9,2,13,5,10.932965134582318
15,1,13,9,10.365828190992264
14,0,15,9,12.697911193755377
18,1,14,7,10.800280827606976
14,0,16,7,12.194616798872085
14,2,10,11,10.936999382925327
17,0,14,11,12.871952451296341
16,1,12,11,11.68662890791893
15,1,13,9,10.728205919265747
15,1,12,11,11.447817452986438
15,1,12,11,11.447817452986438
14,2,12,7,10.733045250177383
11,0,17,5,11.946553200483322
14,1,15,5,11.306667832876716
14,0,17,5,12.052494901869622
17,2,12,7,9.713414400815964
14,1,14,7,11.031115174293518
14,2,9,13,11.996641307159324
17,1,10,15,13.53380623459816
15,1,12,11,11.447817452986438
13,0,15,9,12.828135192394257
10,0,16,7,11.630746701878257
11,0,14,11,12.922176424147187
11,2,12,7,11.076320376527322
13,1,17,1,9.851726045875154
16,2,13,5,7.828052338706933
14,0,14,11,12.145758456258026
13,1,15,5,9.928075611591339
14,2,11,9,11.545170021381862
15,1,13,9,10.828074202036944
13,1,15,5,8.482360780239105
10,2,14,3,9.920734137296677
7,0,18,3,11.010421931743622
10,1,14,7,11.298259850112364
13,1,14,7,10.63095102491438
15,1,12,11,11.447817452986438
14,1,14,7,10.628579050302505
14,2,13,5,9.91181755458169
12,2,11,9,11.546660661697388
13,0,17,5,11.802685781948561
10,2,13,5,10.133579431331164
15,0,16,7,11.212082134658157
12,1,13,9,11.217840880155563
13,1,15,5,10.118482772472014
11,1,15,5,11.16424951432629
11,0,17,5,11.30154176824797
13,0,17,5,10.022063173747238
12,1,14,7,10.38103300333023
19,0,13,13,13.818228243321625
7,1,16,3,10.209837317466736
16,1,10,15,13.322667713653548
13,2,11,9,10.948217041230222
15,1,12,11,11.447817452986438
18,2,12,7,9.838234358872777
14,0,16,7,10.920759097216797
15,2,10,11,11.644814521074295
14,0,18,3,10.872332291413729
14,2,8,15,11.934172999004138
8,2,13,5,10.973422061312784
15,1,13,9,10.296235700833506
13,1,12,11,12.247416228055954
19,0,16,7,11.295851204195596
14,0,16,7,11.882728644888761
16,0,12,15,12.98563289642334
7,0,19,1,10.824890941381454
8,0,15,9,12.99301455087985
9,1,15,5,10.857017636299133
20,0,12,15,13.094931128983717
17,1,12,11,13.339460624449991
15,2,10,11,11.677073933028765
11,0,17,5,10.936830480293025
15,1,15,5,11.589117742805003
14,0,13,13,13.24500133921904
8,1,16,3,10.691762000322342
10,0,18,3,9.2026606798172
13,0,15,9,12.783032656638122
13,0,17,5,10.646845996379852
12,3,10,7,10.505086169057302
13,0,17,5,11.656633427699685
16,0,18,3,9.87062731238077
8,3,12,3,10.08608216047287
14,2,11,9,10.715014517307281
16,2,12,7,9.829147011994998
15,0,15,9,11.952211320400238
11,1,14,7,10.370084553956985
14,0,12,15,13.934044596156888
11,1,14,7,11.538599361928231
16,2,14,3,7.926940330050375
16,0,14,11,13.625497221946716
14,1,15,5,10.11124173488151
15,1,10,15,14.180968988158774
15,0,15,9,11.862149357795715
10,1,12,11,12.489253491163254
15,1,12,11,11.447817452986438
11,1,15,5,10.888391345624132
14,1,13,9,10.69431847333908
7,0,18,3,11.72359898686409
16,0,12,15,13.316182759764569
15,0,15,9,10.529830463016806
16,0,17,5,11.115243524312973
15,1,14,7,10.599688898077636
13,0,17,5,11.227371156215668
14,0,14,11,12.376662909984589
13,0,13,13,13.224126368761063
15,1,12,11,11.447817452986438
15,2,13,5,9.052799072501449
10,1,13,9,12.22815203666687
20,0,12,15,14.262204269583876
12,2,12,7,10.424417527306085
14,2,11,9,10.693670272827148
16,0,15,9,12.01259650385138
15,0,15,9,11.603900492191315
11,0,16,7,11.930355783609953
16,1,11,13,13.27397568950869
12,0,17,5,12.657898038625717
12,1,11,13,13.4070725171361
15,0,15,9,11.651270244360225
16,1,16,3,8.313184573550116
12,0,17,5,11.47577315568924
10,2,13,5,9.898399741113593
10,3,11,5,10.467443197965622
13,0,17,5,10.783574439578524
8,1,14,7,11.944454967975616
15,1,10,15,12.67392271108394
13,3,11,5,9.489734935838129
15,0,14,11,12.140642642974854
17,0,16,7,10.799253887957205
14,0,16,7,11.33047806924765
16,0,15,9,10.869730944639299
15,0,17,5,10.746482998132706
19,1,12,11,11.011766580076394
18,0,13,13,12.723856695173119
17,1,13,9,10.837456911802292
15,1,12,11,11.688874500037993
11,0,16,7,12.330046027898788
16,0,14,11,11.290122348132037
11,1,14,7,11.238182693719864
16,0,14,11,10.5915198835271
14,2,10,11,11.762055939197833
19,0,14,11,13.050148716452656
15,1,12,11,11.447817452986438
4,2,15,1,10.852023124694824
16,1,16,3,8.87575613139317
16,0,15,9,11.718431456799827
5,2,15,1,10.679014950990677
20,0,13,13,12.314104673645554
12,3,9,9,9.530598235167288
12,0,16,7,11.256803065538406
11,0,17,5,10.151086568832397
12,1,14,7,11.293656021356583
11,1,16,3,10.2968240469013
16,1,12,11,12.481649219989777
15,0,16,7,11.590536743402481
16,2,12,7,10.265934166652576
11,0,17,5,11.243421107530594
20,0,15,9,10.221887753276414
13,3,8,11,11.85406231880188
15,0,13,13,11.776748558625961
14,1,14,7,10.714965045452118
13,2,9,13,12.202660611860919
9,0,18,3,11.243583448049083
15,1,12,11,11.447817452986438
14,2,12,7,10.894929736852646
18,0,17,5,10.503709264006028
12,1,14,7,10.602119028568268
13,2,10,11,12.346588402986526
17,0,16,7,10.933817118822239
14,0,17,5,10.927049010820495
11,2,13,5,10.217657923698425
15,1,12,11,11.447817452986438
13,0,13,13,12.893400113698094
13,0,16,7,11.405469738309243
9,0,18,3,11.093351813462082
9,2,13,5,9.895957160416001
15,1,14,7,11.565393479718605
15,1,12,11,11.447817452986438
15,0,13,13,14.021280527114868
17,0,13,13,13.814917390292134
11,1,16,3,9.637375015023682
14,0,16,7,12.021654560940847
14,1,13,9,11.227696858143537
18,1,10,15,12.51416328549385
17,0,15,9,11.152222071423452
11,2,11,9,10.669645369052887
14,0,14,11,12.403786839738732
8,1,17,1,10.034262924350442
14,1,14,7,9.756137997905014
11,2,13,5,10.10942387382563
15,1,13,9,10.575530416225165
17,0,15,9,11.85113098972169
12,0,15,9,12.207737118005753
12,2,11,9,10.761766702253963
9,1,14,7,12.239566168004695
16,1,10,15,13.284289747476578
8,1,17,1,9.519431412220001
14,0,16,7,10.883763611316681
15,1,12,11,11.447817452986438
11,0,18,3,9.712869018316269
15,0,15,9,11.919883819393291
16,0,15,9,12.483406980388429
13,0,15,9,12.945320086960766
18,0,16,7,11.474551341695717
14,0,18,3,10.402466864821614
16,0,16,7,12.737311799299498
13,0,16,7,10.941132180665356
15,0,15,9,11.470635730821549
9,4,8,7,9.953955196978619
13,1,12,11,12.835554987192154
9,0,16,7,11.327400267124176
16,2,12,7,9.862487882375717
11,3,10,7,9.866893887519836
8,0,17,5,12.034766584184004
13,1,15,5,10.893413309700287
12,2,12,7,10.077085226774216
15,0,15,9,12.072124421596527
15,1,12,11,11.447817452986438
15,1,12,11,11.447817452986438
17,0,11,17,14.46273546204136
11,1,13,9,11.235514044761658
12,2,11,9,10.501658290624619
11,1,16,3,10.290084075917587
15,1,12,11,11.447817452986438
13,0,17,5,11.990872733865892
12,0,17,5,11.994369954929589
13,1,15,5,9.403171360492706
11,1,13,9,11.733379900455475
14,1,12,11,12.431507449528262
12,0,16,7,12.341874122619629
16,1,15,5,9.585140764713287
14,1,15,5,10.934835334893892
13,3,8,11,12.722076065881058
11,1,15,5,11.093532906322832
13,0,16,7,10.899485799070424
13,1,15,5,9.651358879766843
15,0,18,3,9.81953410470843
15,1,11,13,12.20231277276161
13,1,14,7,10.703449242242877
13,1,10,15,14.705067187547684
13,3,10,7,10.660402011876029
12,0,17,5,11.806256196313228
17,0,14,11,11.425949178082144
13,0,15,9,11.537435233592987
14,1,13,9,10.781327063593112
16,1,12,11,10.673494267097464
10,4,10,3,8.43498951487873
13,0,17,5,11.106492553984701
14,0,17,5,11.067580748131432
17,0,16,7,12.18371668457985
16,1,13,9,12.037758203905321
17,0,14,11,12.11144594735914
14,0,14,11,13.57868071562218
14,0,17,5,10.028980255126953
12,2,11,9,10.96081671682258
12,1,15,5,10.312551201715504
17,0,14,11,11.949182554288823
15,0,14,11,12.73922446979356
7,0,19,1,11.749589976768492
13,1,15,5,11.047032201914089
10,2,14,3,10.529341408911243
13,1,13,9,10.6385625443667
14,0,15,9,11.114977926265034
11,0,17,5,10.002703249454498
12,1,13,9,11.270899071176796
15,1,15,5,9.858503281312654
15,1,12,11,11.447817452986438
11,0,17,5,10.805227159999463
12,0,17,5,11.540367710490546
