Article Count,512,256,128
12,2,10,11,13.003356724977493
7,1,14,7,13.902423173189163
3,1,16,3,11.739963620901108
5,1,13,9,11.764151751995087
1,1,15,5,12.797439724206924
7,2,10,11,12.960643202066422
9,1,15,5,11.752259582281113
13,3,10,7,9.792192697525024
12,0,17,5,11.684466302394867
7,3,11,5,11.416465997695923
9,1,13,9,13.377251476049423
14,0,17,5,12.184964329004288
11,3,11,5,10.406156063079834
12,2,15,1,10.56775152683258
3,4,9,5,10.821733504533768
3,2,14,3,11.402499675750732
5,0,18,3,12.283749461174011
4,2,13,5,12.30618104338646
8,1,14,7,11.782074838876724
9,0,17,5,11.88836720585823
8,2,13,5,11.396067917346954
10,2,14,3,10.212783098220825
6,1,13,9,12.926470398902893
8,0,16,7,12.231697648763657
5,1,16,3,11.949687659740448
5,0,17,5,12.643872171640396
5,1,14,7,13.286376297473907
12,1,15,5,12.39980023779653
10,1,16,3,11.420505225658417
2,0,17,5,12.62064853310585
7,0,17,5,12.094249069690704
4,1,15,5,12.028160214424133
7,1,14,7,12.898605644702911
15,2,12,7,11.238720506429672
7,1,13,9,14.028778940439224
12,1,15,5,11.809855476021767
5,0,18,3,12.139714121818542
5,1,14,7,13.497866094112396
8,2,13,5,10.66761827468872
6,0,17,5,11.720762252807617
5,0,19,1,11.713827401399612
3,0,18,3,13.59640458226204
4,4,11,1,10.192924410104752
1,2,9,13,13.48378300666809
3,0,16,7,13.882803201675415
5,3,10,7,10.604137927293777
14,1,14,7,11.683107107877731
4,3,12,3,10.747314244508743
10,2,10,11,13.174682229757309
3,2,14,3,11.087440848350525
3,3,12,3,10.912055224180222
6,2,13,5,11.764478951692581
6,2,12,7,12.330861568450928
12,2,12,7,11.025208473205566
9,2,15,1,10.659345626831055
4,1,16,3,12.934960156679153
4,4,11,1,9.821387380361557
7,1,14,7,12.589995324611664
8,4,8,7,11.232169196009636
9,0,18,3,12.808951303362846
4,0,17,5,12.907186329364777
4,1,15,5,12.414576590061188
9,3,10,7,11.90735474228859
6,2,14,3,11.041089475154877
2,4,11,1,11.62896803021431
4,0,14,11,13.868658244609833
13,0,18,3,11.72677692770958
6,0,17,5,12.315477073192596
4,4,10,3,9.91273957490921
6,2,12,7,11.968466609716415
8,0,14,11,13.755621701478958
6,1,15,5,11.75904393196106
2,3,11,5,12.227955371141434
5,2,11,9,12.01081097126007
5,1,14,7,14.046409755945206
3,4,11,1,10.871371641755104
5,1,12,11,12.04416310787201
5,2,11,9,13.589242443442345
14,1,13,9,11.936075240373611
6,3,11,5,11.937221556901932
10,2,13,5,11.600769862532616
1,7,5,1,8.253137677907944
4,1,14,7,12.608296990394592
4,2,13,5,12.153325110673904
9,2,13,5,12.775374621152878
6,1,12,11,12.577803909778595
8,2,14,3,11.481394410133362
9,0,18,3,12.226061195135117
6,2,13,5,10.551498621702194
8,2,14,3,10.072875797748566
4,2,11,9,11.977356135845184
4,0,18,3,12.019801497459412
4,2,12,7,12.923590540885925
7,2,13,5,12.486400246620178
1,0,14,11,16.25346863269806
11,0,16,7,12.764493107795715
7,0,15,9,14.664766401052475
11,0,17,5,13.067587286233902
8,2,15,1,10.951909869909286
7,3,11,5,11.366441950201988
9,1,15,5,11.559579819440842
12,2,13,5,11.540950328111649
10,1,13,9,12.327991023659706
14,0,17,5,11.171693682670593
11,0,15,9,12.849149197340012
5,1,16,3,11.132930904626846
11,0,16,7,13.333359986543655
5,2,13,5,11.170516431331635
7,2,14,3,11.160118073225021
2,2,12,7,12.669223695993423
8,0,17,5,12.271425664424896
7,2,11,9,12.666222244501114
6,1,15,5,12.57577458024025
7,2,13,5,12.10675847530365
4,1,15,5,12.739772707223892
10,0,18,3,11.373196989297867
5,2,13,5,11.988122195005417
7,2,13,5,11.24479641020298
10,2,14,3,10.902927950024605
2,1,17,1,12.477711945772171
1,3,10,7,11.867570281028748
8,2,11,9,12.039916962385178
6,2,13,5,11.71541765332222
1,2,15,1,12.00985312461853
4,1,14,7,14.238781279505751
7,3,13,1,9.613021487524266
6,1,16,3,12.810963660478592
7,4,10,3,9.361544072628021
1,2,12,7,13.928569227457047
1,0,18,3,13.032523721456528
3,2,12,7,12.748828947544098
4,3,12,3,11.277379810810089
2,0,16,7,14.99852254986763
5,1,16,3,11.733455091714859
10,1,15,5,12.184461772441864
9,1,14,7,12.615169376134872
6,2,11,9,12.367639750242233
3,1,14,7,13.808224499225616
7,1,14,7,12.51546162366867
6,2,13,5,11.66834932565689
4,2,13,5,12.022951453924179
6,2,14,3,10.973862200975418
4,1,14,7,12.604863001562844
4,1,15,5,12.159688919782639
6,2,14,3,10.161510646343231
7,3,11,5,10.81327673792839
