128,ss_128,256,ss_256,512,ss_512
17,21.69280841946602,12,10.392457216978073,7,4.930654883384705
8,24.14560979604721,7,11.918024867773056,4,5.684145897626877
4,22.333081007003784,3,11.032485961914062,2,5.366522550582886
14,19.925866425037384,5,9.59328630566597,5,4.391159236431122
2,22.890282690525055,1,11.560674220323563,1,5.612558364868164
11,21.578825622797012,8,10.419009566307068,5,4.8139252960681915
11,21.071435004472733,8,10.544487684965134,6,4.983076840639114
17,19.254126608371735,12,9.106731921434402,6,4.319885790348053
14,20.252893269062042,10,10.078015953302383,5,4.772616744041443
11,22.30895045399666,6,11.019870549440384,5,5.362215220928192
14,22.034676373004913,6,10.820269137620926,5,5.17856428027153
17,21.41064354777336,13,10.527557760477066,8,4.9121063351631165
18,20.94645521044731,12,10.16198918223381,7,4.91273033618927
15,22.098173052072525,12,10.903176575899124,6,5.258743315935135
8,22.244686871767044,6,11.044622004032135,1,5.492543876171112
5,22.141824185848236,5,11.131611570715904,3,5.3890236765146255
5,22.214410454034805,4,11.132291406393051,2,5.2847557961940765
6,22.806266129016876,3,11.385747000575066,2,5.520477697253227
13,20.935874730348587,7,10.046571850776672,6,4.788110792636871
11,20.67786866426468,8,10.266767680644989,7,4.8486961126327515
12,21.391912013292313,7,10.617939442396164,6,5.171492338180542
20,20.05561339855194,10,9.890268594026566,8,4.870608001947403
13,21.59108731150627,6,10.486861050128937,5,4.9227496683597565
12,20.43630686402321,7,9.973108142614365,4,4.641219347715378
8,22.268664628267288,5,11.316559314727783,2,5.412661969661713
8,21.94066333770752,4,10.858337193727493,2,5.276610463857651
11,22.739269137382507,4,11.34553724527359,3,5.488381028175354
13,22.563493102788925,9,11.10632969705515,5,5.265580493384086
12,22.298372745513916,8,10.779069423675537,8,5.1188496351242065
9,21.885773926973343,2,10.890564054250717,2,5.095330506563187
9,20.740948170423508,7,10.28121480345726,4,4.895255237817764
4,21.620665699243546,3,10.844631999731064,2,5.331822395324707
12,21.887412786483765,6,10.868583887815475,6,5.227874368429184
21,20.54905104637146,17,9.89157423377037,9,4.642155677080154
11,22.902744859457016,7,11.356202751398087,4,5.483469694852829
21,21.64073260128498,11,10.520094722509384,6,4.9011439211575745
7,22.0414619743824,5,10.983278185129166,3,5.314008176326752
8,23.158548206090927,4,11.439040422439575,2,5.545728623867035
16,20.375668436288834,8,9.854859948158264,6,4.687404125928879
7,20.663072884082794,5,10.00169125199318,3,4.695515155792236
6,22.386442244052887,5,11.132430225610733,4,5.229745149612427
7,24.59394669532776,2,12.336219429969788,2,6.018446505069733
6,23.648462861776352,4,11.734352797269821,2,5.7930601835250854
2,21.84932589530945,1,10.40109971165657,1,4.886552423238754
4,23.33925548195839,2,11.498159646987915,2,5.493956387042999
11,20.03245684504509,6,9.753615885972977,4,4.766843914985657
20,20.670171052217484,13,10.008538462587884,6,4.75890851020813
8,22.100280970335007,4,10.94981500506401,3,5.3819819688797
14,21.52715027332306,11,10.47383764386177,7,5.06137079000473
5,21.589776396751404,4,10.785975903272629,3,5.148790925741196
11,21.558489620685577,7,10.923954039812088,3,5.503139644861221
9,22.3476402759552,6,10.883134573698044,3,5.200825333595276
12,21.824724316596985,7,10.877213805913925,3,5.17988321185112
18,19.942769795656204,11,9.711564093828201,7,4.610092848539352
13,22.409661442041397,9,11.020067721605301,5,5.282115191221237
6,24.47263604402542,3,12.190280705690384,3,5.881303906440735
4,22.696642458438873,3,11.288363575935364,3,5.538692444562912
12,21.94042295217514,7,10.783228635787964,6,5.11260262131691
18,21.78819139301777,9,10.650950253009796,6,5.1220285296440125
11,23.202863290905952,10,11.388598268940473,5,5.4162556629754235
7,22.388312250375748,4,11.12029653787613,3,5.153213083744049
7,22.11094269156456,2,11.041520476341248,2,5.331160247325897
14,21.683313220739365,9,10.758388072252274,7,5.208672881126404
11,22.06016528007219,6,10.840735346078873,4,5.191635996103287
3,26.232134133577347,2,13.395851999521255,1,6.589134469628334
4,21.32266041636467,3,10.447068840265274,4,4.874887943267822
14,21.69165799021721,13,10.562586545944214,6,4.930500030517578
9,21.36160945892334,4,10.547931730747223,4,5.044970333576202
12,21.729715198278427,5,10.887615114450455,2,5.284034371376038
11,21.83764722943306,6,10.686611026525497,7,5.0793775618076324
10,20.75356349349022,4,10.2557932138443,2,4.865808963775635
12,21.180448293685913,7,10.403189241886139,6,5.061766684055328
4,23.118745431303978,3,11.632814407348633,2,5.7157242596149445
11,20.868108868598938,5,10.128663837909698,2,4.952303051948547
5,24.458091735839844,5,12.029366165399551,2,5.751501798629761
10,24.285286739468575,4,12.306805029511452,3,6.082772463560104
6,19.338160514831543,4,9.25967824459076,3,4.390970468521118
10,23.201411455869675,5,11.525563523173332,3,5.598928153514862
21,20.106628507375717,13,9.616859823465347,7,4.5272776782512665
9,22.89235620200634,6,11.457920789718628,4,5.474421918392181
12,21.744672045111656,10,10.71965777873993,6,5.093954265117645
1,23.017418146133423,1,11.675781726837158,1,5.785251706838608
7,21.755343168973923,5,10.642066836357117,2,5.122175097465515
6,23.10377073287964,5,11.420242995023727,2,5.4587041437625885
11,24.119247242808342,8,11.983339816331863,4,5.860382109880447
9,20.298419147729874,5,9.726515293121338,3,4.580372720956802
12,22.53682678937912,10,11.232020527124405,5,5.3604192435741425
12,22.807070940732956,9,11.106530517339706,6,5.343908458948135
16,20.50602114200592,8,9.923658519983292,7,4.732750743627548
9,20.3107713162899,8,9.906579285860062,6,4.57952743768692
5,20.845001250505447,4,10.083892345428467,4,4.804197907447815
7,21.96898427605629,3,10.908074259757996,3,5.34002298116684
4,23.29910233616829,3,11.532620668411255,2,5.470275312662125
13,23.212040722370148,8,11.582645565271378,5,5.607579976320267
1,24.909160763025284,1,12.209893971681595,1,5.778745800256729
