Article Count,512,256,128
9,0,7,25,22.250535488128662
5,1,7,21,20.26464805006981
17,1,3,29,24.499089047312737
10,0,1,37,28.683551490306854
8,1,7,21,21.68116356432438
17,3,2,23,19.51784423330578
8,0,3,33,27.159460306167603
4,2,5,21,20.11733753979206
15,0,3,33,25.92915189266205
2,2,7,17,19.253416761755943
25,0,1,37,27.204349875450134
5,2,3,25,21.22173073887825
2,1,7,21,21.061338171362877
23,0,1,37,27.74583262205124
4,3,4,19,18.485264122486115
23,0,1,37,26.292783796787262
9,0,3,33,25.805265575647354
8,0,3,33,24.914983481168747
1,4,7,9,14.65551994740963
14,0,6,27,23.988015219569206
19,0,1,37,26.72738328576088
4,0,7,25,23.20121467113495
5,0,8,23,22.296529710292816
3,2,5,21,21.32870364189148
2,5,6,7,14.135490760207176
18,0,2,35,25.729856252670288
17,1,3,29,23.632945492863655
14,0,2,35,25.50906765460968
14,0,3,33,25.952777236700058
15,1,5,25,21.920575201511383
2,0,4,31,25.787314981222153
13,1,2,31,23.75185826420784
17,0,4,31,26.08282397687435
10,3,1,25,19.957296907901764
11,1,3,29,24.439520806074142
14,0,7,25,21.684490084648132
18,0,1,37,27.269520193338394
13,1,4,27,23.471818581223488
9,1,5,25,22.356973737478256
5,0,7,25,23.45214357972145
14,0,5,29,24.966842606663704
1,2,9,13,18.381111338734627
16,0,2,35,26.32507985830307
10,2,6,19,19.072190821170807
2,3,7,13,17.200908094644547
19,3,0,27,21.110425680875778
1,2,10,11,18.087740272283554
14,1,0,35,26.11346697807312
16,1,1,33,25.30489857494831
17,0,1,37,26.857227563858032
27,0,1,37,27.903858840465546
1,0,2,35,28.685049042105675
8,4,2,19,17.996079176664352
9,2,7,17,18.751784443855286
3,2,6,19,19.797939091920853
20,0,0,39,29.875553160905838
3,2,8,15,18.140820369124413
1,3,9,9,15.659568876028061
11,1,2,31,23.931032329797745
19,0,0,39,26.95562919974327
1,0,3,33,27.05109041929245
1,2,6,19,20.0519038438797
21,0,1,37,27.443049728870392
1,0,3,33,26.59192667901516
12,0,7,25,22.463808059692383
13,0,4,31,24.53269112110138
4,1,11,13,18.361668080091476
23,0,2,35,26.645298153162003
1,6,4,7,12.52042792737484
1,2,8,15,19.345360919833183
2,0,2,35,27.131912484765053
2,3,8,11,16.603872880339622
1,3,8,11,17.413245111703873
11,0,3,33,25.648847311735153
4,0,7,25,23.90540060400963
2,4,7,9,15.766784891486168
18,0,2,35,26.417098730802536
8,0,5,29,24.704839378595352
15,1,3,29,24.391752645373344
19,0,4,31,23.90443390607834
2,1,10,15,18.97388368844986
10,1,1,33,25.314917221665382
15,2,3,25,20.993143528699875
7,2,6,19,19.363392412662506
14,0,0,39,28.450368985533714
19,0,1,37,27.05578100681305
16,1,4,27,23.286811739206314
8,0,10,19,20.040075659751892
2,0,9,21,22.637405395507812
1,0,3,33,27.70582342147827
18,0,4,31,24.516984164714813
1,1,7,21,22.17346739768982
20,0,4,31,24.656785517930984
8,0,4,31,24.820978820323944
11,0,1,37,27.58836469054222
8,2,8,15,18.549815461039543
18,0,3,33,25.44825753569603
7,0,4,31,25.81190250813961
24,0,0,39,29.100786417722702
1,1,10,15,19.041355431079865
7,0,1,37,28.158442422747612
5,1,9,17,19.349964529275894
20,1,3,29,23.04058563709259
5,0,8,23,23.423607543110847
23,0,2,35,26.92179822921753
1,5,7,5,13.288677364587784
11,0,3,33,25.20461916923523
3,0,4,31,25.473032757639885
19,0,1,37,26.976663202047348
19,0,2,35,25.939830660820007
1,2,10,11,16.927571639418602
12,0,4,31,26.08345042169094
2,0,2,35,27.14163936674595
4,0,2,35,26.947650372982025
6,1,5,25,23.097058534622192
29,0,1,37,26.23194682598114
5,1,5,25,23.0599382519722
18,0,7,25,22.645638465881348
10,1,4,27,22.21619114279747
5,1,5,25,21.81802248954773
4,1,2,31,25.147745802998543
