128,ss_128,256,ss_256,512,ss_512
10,27.146376132965088,6,12.98634934425354,3,6.031476765871048
5,27.367056488990784,3,13.104839891195297,3,6.076093077659607
18,29.00983501970768,9,13.86355146765709,4,6.4945425391197205
10,29.466131657361984,8,13.843866497278214,8,6.413035303354263
9,29.166068360209465,5,14.039613336324692,1,6.531091004610062
17,26.955274287050536,11,13.206031042726368,4,6.210869193077087
8,29.43023194372654,8,13.999513566493988,5,6.4111438393592834
3,28.431049019098282,2,13.535495638847351,2,6.319175720214844
16,28.050852477550507,7,13.311259359121323,3,6.087599515914917
2,28.8998544216156,2,13.862335711717606,2,6.462934702634811
26,27.958330303430557,13,13.18833413720131,8,6.045977145433426
5,27.595849364995956,2,13.175569117069244,1,6.181219279766083
2,28.275476589798927,2,13.570816546678543,2,6.327441036701202
22,28.482755482196808,7,13.457770466804504,3,6.181425452232361
4,27.81284710764885,6,13.238891631364822,2,6.185402125120163
23,26.99847000837326,12,12.71376046538353,6,5.825725853443146
9,28.00840052962303,7,13.335095435380936,5,6.027934789657593
8,26.98204454779625,5,12.865405857563019,2,5.985169678926468
1,28.527870252728462,1,13.882436111569405,1,6.489365577697754
14,28.404799669981003,9,13.513555198907852,5,6.214790105819702
19,27.441224545240402,15,12.981798619031906,6,5.970764338970184
4,28.281300231814384,4,13.548857808113098,2,6.237913817167282
6,28.083242997527122,2,13.48644208908081,2,6.245465189218521
3,30.159423261880875,2,14.253459170460701,2,6.5383613258600235
3,30.490446865558624,1,14.890990823507309,1,6.979949936270714
19,27.110231757164,10,12.94231241941452,8,6.050793558359146
19,28.12760417163372,11,13.43987062573433,4,6.213937059044838
13,26.895673274993896,9,12.728087365627289,6,5.910651206970215
13,28.072686970233917,9,13.37360355257988,4,6.172792583703995
17,27.58331075310707,8,13.246684730052948,5,6.101610988378525
2,28.74643062055111,1,13.635769009590149,2,6.298040151596069
11,27.334110736846924,9,12.902028530836105,5,5.968975871801376
17,29.052352085709572,10,13.909439742565155,5,6.424212336540222
12,26.824283719062805,6,12.94735273718834,3,6.102513879537582
13,28.996507853269577,8,13.793193757534027,3,6.402845710515976
16,26.440770626068115,11,12.722924828529358,7,5.9358949065208435
18,27.991315245628357,8,13.15128144621849,5,6.109631270170212
13,28.78971666097641,7,13.559335321187973,8,6.152687191963196
9,28.168858751654625,4,13.338642627000809,3,6.142643928527832
5,28.60818360745907,2,13.756158173084259,1,6.378294587135315
15,28.73117320239544,5,13.569823682308197,6,6.101564049720764
1,29.634725362062454,1,14.410010293126106,1,6.762935593724251
17,27.725510954856873,9,13.207829684019089,6,6.097640961408615
12,27.650277137756348,4,13.245393693447113,1,6.143561393022537
3,29.19498361647129,2,14.027577683329582,1,6.573847413063049
20,27.45802630484104,9,13.050166428089142,3,6.173906624317169
1,30.253584310412407,1,14.798677682876587,1,6.943311810493469
13,28.31466582417488,9,13.471233367919922,6,6.268392890691757
18,28.223685577511787,8,13.39683598279953,4,6.309736400842667
17,27.577575743198395,13,13.056344836950302,8,6.012972593307495
25,28.6343914270401,18,13.50455892086029,9,6.268171101808548
1,30.326595813035965,1,14.230061382055283,2,6.483481675386429
13,28.012720987200737,8,13.316312104463577,1,6.354712814092636
10,28.26997461915016,4,13.56995752453804,2,6.3103101551532745
5,28.546018242836,1,13.744630187749863,1,6.437934458255768
20,29.875553160905838,11,14.032215371727943,6,6.365089952945709
4,28.191912174224854,2,13.605541452765465,2,6.370684593915939
1,29.289064407348633,1,14.001097798347473,1,6.511977195739746
8,27.555670469999313,5,13.167177975177765,3,6.1441134214401245
18,26.960031181573868,8,12.734330356121063,7,5.904006391763687
1,29.424298986792564,1,13.826339393854141,1,6.310010313987732
2,28.962503612041473,1,13.932071164250374,1,6.529086217284203
21,28.192894905805588,10,13.416035294532776,7,6.202634155750275
1,28.834045067429543,1,13.684964209794998,1,6.3005728125572205
14,27.35983657836914,6,13.132719278335571,4,6.170135051012039
12,27.43497982621193,11,12.954663246870041,5,5.975488483905792
4,28.73123885691166,2,13.830455124378204,1,6.425999283790588
23,28.106060191988945,15,13.326890110969543,9,6.134470552206039
3,28.522934541106224,1,13.901834517717361,1,6.536575347185135
1,30.19242325425148,1,14.509687304496765,1,6.787126317620277
2,28.59974591434002,1,13.595386266708374,1,6.288293093442917
4,29.237005710601807,3,14.190959572792053,1,6.711381524801254
1,30.84216146171093,1,14.91120932996273,1,6.996864229440689
12,27.78453117609024,9,13.153221100568771,5,6.097349286079407
6,29.131707578897476,1,13.94776202738285,1,6.4501566886901855
2,30.720316901803017,2,14.779303953051567,1,6.901150405406952
18,27.892734587192535,12,13.235354214906693,5,6.130793571472168
8,28.42374438047409,4,13.503440618515015,2,6.22759136557579
18,28.893862441182137,6,13.657434776425362,4,6.293787270784378
20,26.601589679718018,12,12.718048989772797,4,5.817774266004562
2,28.61162433028221,2,13.637760818004608,1,6.357373237609863
10,28.222925141453743,7,13.303973406553268,2,6.1433208882808685
17,27.411896347999573,7,13.076984971761703,2,6.136368572711945
12,27.930674731731415,3,13.472145766019821,2,6.31884229183197
12,28.457354083657265,7,13.458799988031387,5,6.148261666297913
18,27.79353478550911,14,13.171049177646637,9,6.0378628969192505
17,28.434542149305344,5,13.637123227119446,2,6.356962889432907
9,26.98937827348709,4,13.014608323574066,6,5.882784426212311
2,29.426894798874855,2,14.198003828525543,2,6.595574170351028
1,30.01329018175602,1,14.200516641139984,2,6.4271166026592255
17,27.25237438082695,11,13.03374457359314,7,5.97223961353302
1,29.84808760881424,1,14.385305374860764,1,6.727178737521172
21,27.551396787166595,9,13.031957864761353,6,5.948648899793625
8,27.694490045309067,7,13.072941571474075,5,5.999629825353622
11,28.307090938091278,8,13.344351202249527,5,6.038931906223297
10,28.92690436542034,4,14.000736489892006,1,6.565949708223343
16,27.564837217330933,14,13.160390585660934,8,6.083293199539185
7,28.782824888825417,7,13.664745897054672,4,6.274894714355469
24,29.100786417722702,15,13.734240353107452,7,6.346333235502243
1,28.647628158330917,1,13.736627459526062,1,6.36669334769249
7,28.913686767220497,4,13.60420697927475,4,6.180323421955109
6,28.036325812339783,4,13.478912562131882,2,6.275470793247223
22,27.17313876748085,12,12.987103343009949,6,6.019020169973373
5,29.496765092015266,2,14.109019577503204,2,6.542383581399918
23,28.342839866876602,9,13.502954006195068,5,6.298783391714096
2,30.229944303631783,1,14.764856904745102,1,6.983768194913864
12,27.32601922750473,8,12.916744112968445,5,5.959008425474167
3,28.4015104919672,3,13.507897287607193,4,6.2489893436431885
18,27.723372995853424,7,13.092666774988174,2,6.118786662817001
19,27.3408360183239,9,12.955648243427277,7,5.9205261170864105
1,28.88970774412155,1,13.866650432348251,1,6.456230342388153
11,29.178585827350616,6,13.646022766828537,4,6.261691480875015
2,28.58583576977253,2,13.514827758073807,2,6.233310848474503
4,28.39912909269333,4,13.416258573532104,3,6.229222536087036
8,29.23676271736622,4,13.917316541075706,2,6.440212965011597
30,26.919135630130768,16,12.738674610853195,9,5.8870560228824615
4,29.141427978873253,4,13.932076796889305,2,6.473952919244766
21,27.554448425769806,10,13.278620809316635,4,6.158413201570511
11,27.016831904649734,3,12.933300495147705,1,6.075784534215927
8,27.292023479938507,4,13.073438465595245,1,6.069891273975372
4,28.97961361706257,3,13.729494750499725,2,6.42505756020546
16,26.120029002428055,7,12.518189817667007,3,5.885115087032318
22,28.080360934138298,12,13.198741674423218,6,6.089087754487991
23,27.710030287504196,12,13.167041629552841,4,6.042808949947357
1,29.144864842295647,1,14.039445489645004,1,6.580857515335083
36,26.959941864013672,19,12.602189183235168,8,5.830284059047699
4,28.972646608948708,3,13.974441140890121,2,6.582067832350731
6,28.60279932618141,6,13.699400946497917,2,6.472855746746063
5,28.40249975025654,2,13.596381947398186,1,6.274585396051407
11,27.605466276407242,7,13.059668004512787,5,6.089787393808365
17,28.240980327129364,8,13.463025299814293,4,6.207930147647858
7,27.711933121085167,2,13.298263967037201,1,6.2753168642520905
23,27.40374019742012,8,13.126278400421143,2,6.087163120508194
3,28.631524607539177,2,13.755563780665398,1,6.438263118267059
11,27.683833569288254,5,13.191251158714294,3,6.256097763776779
14,26.726257503032684,7,12.796202838420868,6,5.888658285140991
16,28.26416015625,4,13.71037033200264,1,6.446502596139908
16,28.194312274456024,8,13.341368734836578,4,6.126366078853607
7,27.613525927066803,1,13.305548459291458,1,6.212386429309845
1,29.08597268164158,1,13.841440066695213,1,6.48177096247673
13,27.686943233013153,7,13.334960013628006,7,6.145294338464737
6,29.37241142988205,3,14.023752555251122,1,6.402982950210571
21,26.516981422901154,10,12.605241924524307,6,5.82016596198082
14,27.84473705291748,4,13.263432085514069,3,6.133434981107712
14,28.144903779029846,7,13.29219576716423,1,6.121789276599884
2,28.978221833705902,2,13.93158707022667,1,6.5507645308971405
10,26.74401232600212,7,12.84686690568924,4,5.962413102388382
5,27.880814641714096,3,13.244628429412842,4,6.006189048290253
12,28.736401706933975,6,13.655924037098885,5,6.25049090385437
1,29.266010642051697,1,14.153461053967476,1,6.6030381470918655
17,28.443133383989334,8,13.4706891477108,6,6.174160152673721
15,28.790668055415154,10,13.738825142383575,3,6.374978929758072
13,28.109255373477936,6,13.428771048784256,5,6.292974352836609
4,28.375386208295822,2,13.943141803145409,1,6.659939795732498
2,29.59359899163246,2,14.025376975536346,1,6.4656892120838165
1,30.655059933662415,1,14.756607472896576,1,6.79681795835495
19,26.321184694767,10,12.517126500606537,8,5.750534534454346
29,27.24999764561653,13,12.904553085565567,7,5.941488683223724
4,29.324811071157455,3,14.120834946632385,1,6.678242847323418
2,28.752385154366493,1,13.913732662796974,1,6.509341448545456
15,27.64023917913437,13,13.054718673229218,7,6.086156874895096
3,29.266284376382828,1,14.216763883829117,1,6.699044957756996
7,28.065778344869614,8,13.471029430627823,4,6.183165401220322
25,27.159031987190247,11,12.776646688580513,9,5.747570306062698
33,29.0488743185997,15,13.682846486568451,8,6.255618512630463
3,29.40597102046013,1,14.112573027610779,1,6.626299127936363
13,27.499375075101852,10,13.123751848936081,7,5.989948868751526
15,28.3740401417017,7,13.496357083320618,5,6.1003652811050415
2,29.564828500151634,1,14.308255717158318,1,6.68694894015789
22,28.594714984297752,15,13.382563561201096,8,6.160609751939774
38,28.155680745840073,18,13.508391290903091,8,6.258084625005722
6,27.88236878812313,4,13.444036602973938,3,6.341084957122803
34,27.86685746908188,18,13.313635528087616,9,6.158049136400223
30,26.60179278254509,16,12.588365852832794,7,5.787180960178375
27,28.067046105861664,13,13.11421450972557,6,5.98340830206871
14,26.61511179804802,8,12.670011430978775,3,5.941053479909897
1,28.52339932322502,1,13.627305537462234,1,6.353049457073212
26,26.84988996386528,16,12.715779304504395,7,5.888322472572327
5,28.190920516848564,3,13.428136572241783,3,6.249543905258179
2,29.154176488518715,2,13.946830749511719,1,6.4908974170684814
4,28.24611869454384,1,13.610635995864868,1,6.218272686004639
15,27.669434875249863,6,13.151749432086945,5,6.094997137784958
4,29.18231773376465,3,13.95396800339222,2,6.420873165130615
1,27.573680207133293,1,13.317556232213974,1,6.272646009922028
2,29.70754463970661,1,14.221628785133362,1,6.5809522569179535
27,28.105660423636436,16,13.203098148107529,8,6.030419647693634
4,28.788873478770256,3,13.691796272993088,2,6.352362155914307
2,29.898657947778702,1,14.256623551249504,1,6.627834796905518
1,30.031318366527557,1,14.315555796027184,1,6.673966944217682
1,28.041436567902565,2,13.440882414579391,9,5.802440404891968
22,29.93004086613655,14,14.028404235839844,8,6.3851951360702515
25,28.584072038531303,12,13.573328882455826,7,6.252729028463364
12,28.73676435649395,7,13.712669521570206,3,6.290856808423996
21,26.75897917151451,9,12.930934697389603,5,5.991541147232056
12,27.197094708681107,10,12.740413933992386,8,5.831220895051956
15,26.676181346178055,10,12.728268444538116,8,5.926815003156662
2,28.950005739927292,1,13.840955048799515,1,6.391764760017395
20,29.13255786895752,13,13.767502397298813,8,6.283580660820007
4,28.07474060356617,2,13.549625158309937,2,6.298177063465118
3,29.225670412182808,1,13.954709947109222,1,6.457506209611893
5,28.312328597928207,2,13.696618437767029,1,6.388046532869339
16,27.552968859672546,10,12.960405945777893,7,5.988933026790619
35,25.3852077126503,12,12.247683256864548,5,5.64289864897728
25,28.802383795380592,11,13.623819500207901,6,6.25224381685257
5,28.37341931462288,3,13.405765742063522,2,6.193244069814682
1,28.860765635967255,1,13.754210144281387,1,6.3624164164066315
2,29.328638091683388,2,14.021993547677994,2,6.495311260223389
13,27.81294447183609,8,13.191764533519745,2,6.117249935865402
2,29.02055537700653,1,13.733076751232147,1,6.299890249967575
12,27.314722657203674,11,12.950365513563156,4,5.9273389875888824
13,27.78182429075241,4,13.294129610061646,4,6.155665427446365
18,28.03266793489456,11,13.331721276044846,7,6.070503354072571
26,28.839359670877457,15,13.569901406764984,6,6.178314805030823
1,27.278722882270813,1,12.955290585756302,8,5.644560605287552
3,29.909230560064316,1,14.419305965304375,1,6.695922881364822
10,28.646889060735703,3,13.6290934830904,1,6.25332111120224
16,28.584938779473305,9,13.502665519714355,3,6.160094708204269
12,27.49670234322548,8,13.208328008651733,8,5.950690925121307
6,26.594511210918427,3,12.680112659931183,3,5.856147259473801
17,27.114151030778885,10,12.722754538059235,5,5.838326722383499
1,28.804007917642593,1,13.911377787590027,1,6.526640832424164
11,28.515363305807114,5,13.526447087526321,3,6.291652232408524
10,28.48138825595379,5,13.63396605849266,2,6.317734330892563
8,28.130471631884575,3,13.69861824810505,1,6.509611219167709
2,29.686387538909912,2,14.06145791709423,3,6.449929505586624
13,28.879417553544044,8,13.66338923573494,4,6.240298688411713
1,29.720805883407593,1,14.185943529009819,1,6.63555109500885
1,28.831373125314713,1,13.855272561311722,1,6.533278852701187
11,28.55379591882229,5,13.710206255316734,1,6.413555681705475
1,28.674278393387794,1,13.906202495098114,1,6.563423544168472
6,28.745537146925926,3,13.606471598148346,2,6.197398483753204
10,28.00516676902771,7,13.361529737710953,4,6.149225026369095
2,27.716588139533997,2,13.324432492256165,1,6.204712420701981
20,28.03293612599373,12,13.227530837059021,7,6.1036540269851685
9,28.69947610795498,6,13.52216500043869,2,6.219629168510437
12,28.358132362365723,9,13.432120144367218,4,6.185501575469971
17,28.380403697490692,9,13.538998946547508,8,6.185035556554794
17,28.873682975769043,12,13.61540973186493,8,6.278225839138031
1,29.849664196372032,1,14.139618426561356,1,6.566657543182373
9,29.110663309693336,8,13.779479593038559,5,6.384555548429489
1,29.728380396962166,1,14.286974027752876,1,6.6990911066532135
16,27.842039108276367,15,13.22317835688591,9,5.982309579849243
11,28.177329257130623,7,13.176899254322052,6,6.010012477636337
