Article Count,512,256,128
7,5,4,11,15.838638588786125
2,1,9,17,20.6962121874094
1,1,11,13,20.88836359977722
19,2,5,21,20.360451236367226
10,0,6,27,25.534419924020767
2,6,4,7,13.164063066244125
6,2,6,19,20.53661134839058
18,0,8,23,23.36997401714325
1,1,10,15,20.93713216483593
5,3,8,11,16.83632054924965
6,2,6,19,21.1169061511755
2,5,5,9,15.32134322822094
1,5,7,5,13.766454488039017
7,3,4,19,20.807944044470787
9,6,2,11,13.561141178011894
1,6,5,5,12.812866896390915
12,0,9,21,21.728256925940514
4,2,8,15,19.868166118860245
13,5,4,11,15.252760872244835
9,4,6,11,16.304381877183914
10,3,8,11,16.364382460713387
3,6,4,7,13.826777547597885
3,5,5,9,15.151719495654106
8,5,4,11,15.911766529083252
1,3,8,11,17.940345719456673
5,4,5,13,17.36621342599392
7,4,7,9,15.19994506239891
3,1,9,17,21.643317952752113
5,5,6,7,14.308947872431602
2,5,5,9,14.813943415880203
5,5,6,7,13.716717079281807
5,1,6,23,23.375052481889725
6,2,8,15,19.567426458001137
6,2,6,19,20.452605292201042
3,0,10,19,22.219320252537727
1,2,11,9,17.92281484603882
5,4,5,13,16.589969784021378
4,4,8,7,14.530626147985458
7,6,3,9,12.96114657819271
1,2,6,19,21.28590279817581
1,6,5,5,12.571640461683273
10,2,6,19,20.66521017253399
6,6,2,11,14.301069155335426
10,3,3,21,19.684999376535416
2,3,10,7,15.829925060272217
4,3,4,19,19.52757315337658
25,0,2,35,26.74224430322647
2,8,2,3,9.925063252449036
14,5,2,15,16.582347333431244
2,7,4,3,11.148069724440575
6,3,4,19,19.69139339029789
6,5,6,7,14.121698632836342
10,3,7,13,17.971597120165825
6,3,7,13,17.2471913844347
3,4,7,9,15.930300638079643
1,6,4,7,13.663615256547928
6,5,5,9,13.807351842522621
14,1,4,27,23.875033169984818
3,2,6,19,20.5253454297781
1,6,5,5,12.223029524087906
4,5,5,9,15.091293975710869
3,5,7,5,13.899596586823463
2,1,7,21,23.899743258953094
4,6,4,7,13.277822852134705
3,5,5,9,15.08956654369831
10,4,4,15,17.623948723077774
3,3,4,19,19.144607231020927
9,7,1,9,12.811976879835129
12,0,5,29,26.645225629210472
11,0,8,23,24.06287656724453
9,3,6,15,18.62817020714283
5,4,7,9,15.77956348657608
10,1,5,25,23.99061769247055
10,6,0,15,14.596378237009048
9,4,1,21,19.057494029402733
9,5,1,17,18.35957683622837
7,1,7,21,22.06362596154213
4,5,3,13,14.640248626470566
14,0,6,27,25.15538227558136
1,4,8,7,15.823360055685043
19,1,2,31,24.113007932901382
5,4,6,11,16.7687958329916
7,3,6,15,18.421526730060577
9,3,5,17,19.13754704594612
6,6,4,7,12.890638500452042
4,5,4,11,15.216047585010529
3,4,6,11,16.465402647852898
1,2,9,13,18.578967317938805
19,0,6,27,24.77975732088089
6,0,6,27,25.78306445479393
2,4,7,9,15.623525157570839
2,3,10,7,16.353597193956375
1,7,4,3,11.017571091651917
7,6,3,9,13.159037917852402
9,2,5,21,22.214301824569702
10,4,3,17,17.85095874965191
2,4,7,9,15.854758843779564
10,2,4,23,22.54829305410385
11,7,0,11,13.628931999206543
7,0,5,29,25.811394408345222
1,6,6,3,11.584372743964195
1,6,4,7,12.94149474799633
1,1,7,21,22.310934886336327
11,4,3,17,17.225231170654297
2,5,4,11,15.676213040947914
4,5,5,9,14.7178875207901
5,2,7,17,19.969900965690613
14,5,1,17,17.12227661907673
8,5,3,13,16.085934087634087
4,2,8,15,19.94686107337475
3,4,7,9,15.725386440753937
2,4,7,9,16.40806645154953
1,4,8,7,14.773558169603348
13,2,3,25,22.639698952436447
6,2,8,15,19.10083258152008
5,2,8,15,19.558220103383064
11,1,7,21,21.26432254910469
9,4,2,19,18.514305889606476
8,3,5,17,18.914880618453026
10,1,6,23,23.708325773477554
3,6,5,5,12.59897569532897
1,0,8,23,23.821901440620422
8,2,7,17,20.311650201678276
10,3,4,19,20.197225525975227
3,7,1,9,13.343388006091118
6,0,8,23,23.71547994017601
1,6,5,5,13.060521066188812
1,5,5,9,15.582451969385147
1,8,3,1,9.313617378473282
7,1,6,23,23.445657923817635
2,8,2,3,9.478419348597527
