128,ss_128,256,ss_256,512,ss_512
9,31.16960932314396,3,15.155563816428185,2,7.047917664051056
6,29.767424538731575,3,14.401290312409401,2,6.729938015341759
1,32.48472587764263,1,15.749477162957191,1,7.324267730116844
19,28.860289737582207,8,13.80794571340084,2,6.407214239239693
10,30.40246769785881,7,14.565433293581009,5,6.713274538516998
3,30.320735305547714,2,14.757263004779816,1,6.941202849149704
7,29.842075154185295,3,14.299192026257515,2,6.65250451862812
18,29.4959557056427,10,14.066896542906761,5,6.53983274102211
1,31.455841571092606,1,15.148018151521683,1,7.0785863399505615
5,30.029756546020508,3,14.500652000308037,2,6.757865607738495
7,30.567777916789055,3,14.697007894515991,2,6.908400967717171
2,31.643470346927643,2,15.356910586357117,2,7.210712879896164
1,31.183009296655655,1,15.284746766090393,1,7.24317854642868
7,31.283330515027046,4,15.04690407216549,3,7.078694224357605
13,28.054418548941612,6,13.617976412177086,3,6.4343811720609665
1,31.197181299328804,1,15.21311803162098,1,7.13385047018528
15,28.04643550515175,4,13.736373648047447,2,6.392019838094711
5,30.963194712996483,3,14.95214307308197,2,7.0598962008953094
14,29.937176316976547,6,14.614786088466644,4,6.874164164066315
12,30.13670578598976,6,14.558509513735771,4,6.868317157030106
12,28.914691925048828,8,13.975099429488182,4,6.478143066167831
4,31.46832838654518,2,15.344355791807175,1,7.253390222787857
5,30.986616849899292,1,14.95652388036251,1,7.050660610198975
11,31.319092988967896,6,15.130310282111168,3,7.082996502518654
1,31.608672618865967,1,15.338814675807953,1,7.219007223844528
5,30.82139317691326,3,14.91122367978096,2,6.996690288186073
8,29.57731656730175,5,14.369230821728706,1,6.777702733874321
3,31.140305161476135,3,15.06112127006054,2,7.016068533062935
6,30.965041264891624,4,15.099296569824219,2,7.062136286493061
3,30.225274562835693,2,14.655636325478554,2,6.928097903728485
6,29.87479318678379,2,14.447088047862053,1,6.766878828406334
5,30.40875844657421,5,14.63437631726265,3,6.824398696422577
6,30.64558970928192,3,14.759873390197754,1,6.9061703234910965
6,29.50423838198185,3,14.257856413722038,2,6.630616068840027
4,29.859983056783676,3,14.389604777097702,3,6.663445085287094
1,31.94833056628704,1,15.376076698303223,1,7.080158099532127
5,29.586022660136223,4,14.18869224190712,2,6.624179020524025
6,29.867171615362167,3,14.521965622901917,1,6.828716456890106
8,28.407859697937965,5,13.759113520383835,3,6.484979823231697
1,30.78366842865944,1,14.727511420845985,1,6.945545122027397
4,30.249840319156647,1,14.88998830318451,1,7.046931177377701
11,29.79865427315235,4,14.376696914434433,3,6.686275407671928
10,29.691890254616737,5,14.39792488515377,3,6.795485153794289
12,28.46738786995411,7,13.70297709107399,3,6.491398423910141
2,30.673351109027863,2,15.020478546619415,1,6.9895831644535065
4,29.45309640467167,3,14.175734296441078,3,6.606644824147224
25,28.202983781695366,12,13.490810245275497,6,6.298712462186813
6,29.304828599095345,1,14.437639310956001,1,6.887008979916573
