Article Count,512,256,128
21,0,7,25,22.002476982265243
23,2,4,23,20.47579992612935
28,1,2,31,23.167203786629173
30,0,1,37,25.499444007873535
30,0,1,37,25.447980978601155
31,0,2,35,25.45262335222777
25,0,4,31,24.383647172704343
24,1,6,23,20.43864513460511
25,3,2,23,19.161189307574347
18,2,6,19,17.875122860074043
29,0,3,33,24.981390023545654
26,0,7,25,22.515311814358096
19,2,4,23,19.591502875089645
29,0,1,37,26.082210224001454
25,1,4,27,20.859704531796034
25,1,4,27,20.859704531796034
27,0,3,33,22.884005063521705
29,0,3,33,24.64930104906299
19,4,2,19,17.54648141823244
26,2,1,29,22.10118742628555
29,0,4,31,23.903690934181213
29,0,4,31,23.005108394220542
32,0,2,35,25.631169031059454
19,3,6,15,15.948810077679216
21,4,3,17,16.427121825014687
31,0,2,35,24.92125631537284
27,1,2,31,24.124100026623832
26,0,3,33,23.966058540986197
20,1,7,21,19.97460177540779
23,0,5,29,24.031961346762795
23,2,3,25,20.008370280265808
25,1,4,27,20.859704531796034
15,3,5,17,16.906118485082363
20,3,2,23,18.62624827027321
16,4,1,21,16.83794204575
24,0,4,31,24.444474935531616
29,0,3,33,24.469949509559324
24,0,5,29,23.75608119250513
26,0,2,35,25.717057267404563
19,0,8,23,21.779293580383005
25,0,3,33,25.1951265970794
18,2,4,23,20.41405513882637
25,1,4,27,20.859704531796034
25,1,4,27,20.859704531796034
29,0,3,33,24.81104901432991
15,3,5,17,16.247940480709076
31,1,1,33,23.646442383527756
22,0,5,29,23.707769426779695
21,3,2,23,18.46155001006013
23,2,2,27,20.184656411409378
26,0,5,29,23.86939659336891
23,0,4,31,24.30337455868721
25,1,4,27,20.859704531796034
16,3,6,15,15.852827163692908
13,4,6,11,14.223162859678268
17,4,3,17,16.933687533756085
24,1,4,27,22.524891763925552
31,0,3,33,25.530243541146113
31,0,2,35,25.24812697847078
26,2,3,25,20.974784488029456
24,2,4,23,19.885898954273735
23,0,5,29,24.67564493663333
24,1,3,29,22.473140865564346
31,0,3,33,23.152148221679163
19,2,5,21,18.31382894343824
16,4,4,15,16.188606828451157
17,2,5,21,19.202397286891937
26,1,3,29,22.46488493680954
25,1,4,27,20.859704531796034
31,0,2,35,25.38572382926941
32,0,2,35,25.465930716713835
30,0,3,33,25.109881325234376
18,3,4,19,17.559514607220642
24,2,2,27,20.46969646818428
31,0,4,31,24.62143567804169
17,3,5,17,16.764131635427475
19,1,4,27,22.178328624234293
32,0,1,37,26.68915407884001
21,1,6,23,20.330583462453482
24,0,3,33,24.556663014282087
17,2,7,17,17.104137451984464
30,0,1,37,26.944792755918165
14,2,8,15,17.58394405245781
29,0,4,31,24.19537012631487
17,3,5,17,16.257161270236335
25,1,4,27,20.859704531796034
27,0,1,37,26.35183975978354
23,1,3,29,22.76267412209693
34,0,1,37,26.367715066846586
21,0,6,27,23.215602153381983
26,1,4,27,22.31629745043544
17,3,5,17,16.817306931709286
31,0,4,31,23.068155513086165
23,1,3,29,23.177440732717514
32,0,2,35,26.35506857314589
30,0,3,33,24.525491968744674
32,0,1,37,25.84153141203136
17,3,5,17,16.906202276151703
13,3,8,11,14.889415636658669
18,3,4,19,17.387389759961557
29,0,2,35,26.586594290844907
22,0,4,31,25.244379758185147
25,0,4,31,24.19260234989735
25,0,7,25,21.952173971892357
22,1,3,29,23.019001215696335
21,0,6,27,23.113560513037797
19,2,7,17,16.860456189944294
23,2,3,25,19.675256311893463
21,2,4,23,19.107349402975615
23,2,2,27,21.023552864789963
23,1,6,23,20.23273066905921
23,0,3,33,25.157911910638852
26,1,2,31,22.717777195033346
16,3,3,21,17.829250156879425
33,0,2,35,25.12971492210417
21,3,3,21,17.4466972053051
25,1,2,31,23.52918999308958
24,0,4,31,24.476726700881688
28,0,3,33,25.446963550691702
20,0,7,25,22.193524734370268
28,1,2,31,22.554767087966848
27,0,4,31,25.47288572209867
25,0,6,27,23.112546962046224
20,1,5,25,22.9461649954319
30,1,2,31,22.840262383327847
25,0,6,27,23.09618729352951
25,1,4,27,20.859704531796034
25,0,6,27,23.02762982122471
26,0,4,31,23.168382297753617
19,4,3,17,16.106160806919984
27,1,1,33,25.187550991179524
26,1,2,31,23.312140375375748
27,0,6,27,22.425729217287657
29,0,3,33,25.403739881222176
27,1,2,31,23.737993540352168
20,1,5,25,21.427071392536163
31,0,1,37,26.33752530813217
25,1,4,27,20.859704531796034
30,0,3,33,23.59620427277221
22,2,4,23,19.594557882457984
24,2,2,27,21.918071443286273
19,3,2,23,19.428699844167138
24,0,3,33,24.702413827180862
31,0,1,37,26.43503164429845
30,0,2,35,25.620731149160775
22,0,5,29,23.60276049686603
21,1,6,23,20.451964477724335
21,2,4,23,18.99408267240876
24,1,2,31,25.054611176252365
32,0,1,37,26.953263851038386
26,0,6,27,21.420295743237755
25,0,5,29,23.389273036872158
23,2,2,27,20.634631975725277
28,2,1,29,21.381880961408683
22,2,3,25,20.333041220903397
18,4,1,21,17.312436201907772
33,0,1,37,25.136165448914618
30,0,2,35,25.314147387131744
24,0,3,33,24.508439302444458
28,0,2,35,24.56242379376974
24,1,4,27,22.306471402598717
22,4,0,23,17.572826018222127
30,2,0,31,22.77277930921151
29,1,2,31,23.07875114322811
31,0,2,35,25.88069704767137
28,1,3,29,22.835853503000248
28,0,4,31,24.595641794319697
17,3,4,19,18.673551267013032
20,2,3,25,19.85332613522963
24,1,6,23,20.560574780994784
29,0,4,31,23.629903851511862
28,0,4,31,25.16559668695748
26,0,4,31,25.152646735310555
25,1,4,27,20.859704531796034
15,4,2,19,16.77298927307129
27,0,4,31,23.313577420556214
26,0,5,29,23.317316688548555
7,6,4,7,12.3375768856775
23,1,5,25,21.062065033023806
18,3,3,21,17.644128412008286
27,0,4,31,23.379253065343306
30,0,2,35,25.065339402801232
18,2,6,19,18.61476132273674
25,2,2,27,21.712604359389182
29,0,5,29,23.754665448559724
19,0,5,29,23.85999497771263
25,0,6,27,22.78351200797351
14,2,8,15,16.62213954100123
28,0,3,33,24.951573938131332
21,0,7,25,22.37399911880493
27,0,4,31,25.157036304473877
23,0,4,31,23.429400265216827
20,2,5,21,19.03715807862732
17,3,6,15,16.12866711616516
25,1,4,27,20.859704531796034
24,0,5,29,23.71576153716145
32,0,2,35,26.439483820799012
30,1,2,31,23.3216719109545
27,0,3,33,25.86573831574296
28,0,4,31,23.37687547033699
26,0,7,25,22.590325464872713
21,1,6,23,20.618642151355743
25,1,4,27,20.859704531796034
25,0,5,29,23.788710486097884
24,0,5,29,23.05780040768525
15,2,6,19,18.87414791901513
16,4,3,17,15.628684824128445
25,0,4,31,24.04434781127176
25,1,4,27,20.859704531796034
20,1,6,23,19.671652258936312
25,0,5,29,24.05193139857169
25,1,4,27,20.87754686229899
24,1,4,27,22.461665874726876
24,2,2,27,20.586832883920998
33,0,2,35,25.621719046572544
28,1,1,33,23.227405833603154
20,1,5,25,21.215857326984406
24,0,2,35,25.729865811390034
31,0,2,35,24.486392374766623
33,0,0,39,26.516975760938372
22,1,5,25,20.569757874100517
24,1,3,29,22.93190686582532
36,0,0,39,28.02161690123242
22,0,6,27,23.398684978485107
25,2,1,29,21.525590926408768
16,3,6,15,15.529694819638564
37,0,0,39,27.365620114694092
20,3,2,23,18.2411550283432
24,0,5,29,23.016942739486694
25,1,4,27,20.859704531796034
19,1,5,25,20.933517783880234
25,3,1,25,19.416580766439438
31,0,3,33,25.35529066155876
31,0,2,35,25.856829269814448
24,0,5,29,24.591481807147122
29,0,3,33,24.94606401281586
20,3,1,25,20.05592002921565
28,0,5,29,23.130342085899713
31,0,1,37,26.584054431763796
22,2,4,23,18.487638026475906
33,0,1,37,26.974071386967257
23,2,3,25,20.046378761529922
27,0,5,29,22.297778250998057
17,1,6,23,20.614589358662325
6,7,3,5,10.648731252255601
18,2,6,19,19.315057302913395
24,1,4,27,21.63896008522157
27,0,6,27,23.019302248954773
25,1,4,27,20.859704531796034
25,1,4,27,20.859704531796034
26,0,3,33,26.119623602951005
23,1,5,25,20.8815643643844
24,0,4,31,23.4605832695961
27,2,2,27,20.402373018963615
25,1,4,27,20.859704531796034
22,2,4,23,19.04800285617544
18,2,7,17,17.71275142489609
26,1,2,31,22.00477491637532
24,0,5,29,24.18871581139376
29,1,1,33,24.442804317413827
24,0,6,27,23.810238238349047
33,0,1,37,25.97778731933423
28,0,5,29,23.578409039780563
20,2,4,23,18.971329213592913
22,2,4,23,19.155620045562802
26,1,4,27,21.1190058204483
28,1,2,31,21.98905610675971
