Article Count,512,256,128
10,5,5,9,13.785718351602554
8,4,4,15,16.959167808294296
7,0,10,19,22.139731854200363
9,2,5,21,20.10742476582527
1,7,3,5,11.353929460048676
3,3,8,11,16.027245581150055
7,5,5,9,13.579758018255234
8,7,2,7,11.029174029827118
9,6,3,9,12.355780720710754
10,6,2,11,13.99651600420475
13,1,6,23,20.882185608148575
7,2,6,19,19.18754254281521
14,4,4,15,16.315870940685272
13,5,5,9,12.971329256892204
3,4,5,13,15.838109984993935
7,4,5,13,15.246447205543518
7,1,4,27,22.891450196504593
6,4,7,9,14.558647945523262
14,2,3,25,21.266786217689514
8,6,3,9,12.48837435245514
14,3,4,19,18.56564149260521
10,6,4,7,11.848895013332367
13,1,7,21,20.001409217715263
5,1,5,25,22.705177649855614
5,6,4,7,12.40286709368229
8,4,5,13,15.673086136579514
3,1,9,17,19.89368584752083
14,4,7,9,14.62142950296402
5,3,5,17,17.79844658076763
6,3,6,15,17.61834943294525
9,3,8,11,15.588801234960556
5,6,5,5,11.377756625413895
6,2,7,17,18.127995640039444
16,4,2,19,17.197287127375603
8,7,1,9,12.44209899008274
12,5,4,11,14.313193768262863
6,6,4,7,12.382298275828362
5,5,5,9,14.080762833356857
12,3,4,19,17.862198412418365
4,1,8,19,18.796886801719666
4,6,4,7,12.705056697130203
2,8,3,1,9.340341687202454
4,7,2,7,11.89219281077385
7,2,5,21,20.047964245080948
3,7,4,3,10.524144351482391
4,6,3,9,12.662948042154312
8,1,6,23,21.412933379411697
4,5,4,11,14.865552827715874
5,5,6,7,12.91544160246849
5,5,4,11,13.878265142440796
8,8,0,7,10.788691014051437
9,3,5,17,17.929995357990265
5,7,2,7,11.342076793313026
9,0,10,19,19.972713202238083
15,3,5,17,17.230691894888878
4,4,5,13,16.457212910056114
5,6,5,5,11.650218829512596
8,4,5,13,15.50951573252678
10,3,5,17,16.864975839853287
10,5,2,15,15.903516926434722
4,3,7,13,16.936788976192474
4,8,2,3,9.654716566205025
11,0,9,21,21.64919738471508
4,5,5,9,14.04817421734333
1,9,1,1,8.964835852384567
3,7,3,5,10.83125251531601
10,2,6,19,19.494711011648178
9,6,3,9,12.567723080515862
8,2,5,21,19.567315250635147
8,1,9,17,18.802618592977524
9,4,4,15,16.193744391202927
13,1,8,19,19.548639222979546
5,8,1,5,10.477846443653107
3,4,6,11,14.909224480390549
4,4,6,11,15.719227835536003
5,7,3,5,10.883209332823753
5,2,10,11,16.724179834127426
6,5,3,13,14.618994727730751
17,2,2,27,21.660867005586624
11,0,8,23,22.15851078927517
13,3,7,13,16.122169688344
1,6,6,3,11.294772699475288
3,7,3,5,10.805356368422508
5,3,7,13,16.937947809696198
10,5,4,11,14.718260645866394
12,1,12,11,16.688748329877853
9,4,6,11,14.603204503655434
8,4,8,7,13.347489967942238
7,3,6,15,16.940569818019867
8,2,8,15,17.574087500572205
5,3,5,17,18.158060759305954
5,7,3,5,10.455099523067474
3,7,3,5,11.425155833363533
11,7,0,11,12.661405742168427
1,0,15,9,19.246351778507233
16,3,2,23,19.820980414748192
10,3,4,19,18.64037576317787
6,3,7,13,16.448413103818893
10,5,2,15,15.617132395505905
12,5,2,15,15.414851903915405
13,2,5,21,18.900453358888626
8,5,6,7,12.808368593454361
9,3,6,15,17.408707201480865
21,1,2,31,23.005315214395523
5,5,7,5,11.542235493659973
9,3,7,13,16.069328412413597
15,4,5,13,15.229709506034851
8,6,3,9,12.557882741093636
10,5,3,13,14.931914269924164
1,7,3,5,11.057522624731064
11,3,7,13,15.937043070793152
6,6,3,9,12.681076288223267
8,7,1,9,12.308535948395729
9,0,10,19,20.830378994345665
3,5,5,9,13.878830939531326
10,6,2,11,12.992642760276794
7,3,9,9,15.209015220403671
11,5,2,15,14.97246366739273
13,3,6,15,16.89303520321846
3,7,3,5,11.25001809000969
1,0,8,23,23.398814648389816
10,4,7,9,14.192612051963806
8,4,5,13,16.074384793639183
1,6,6,3,11.722276777029037
3,5,5,9,14.357250362634659
11,2,8,15,17.357472121715546
5,7,3,5,10.90758241713047
15,2,5,21,19.265257447957993
1,4,7,9,15.063825339078903
2,6,5,5,11.827074974775314
2,4,8,7,14.506538555026054
3,5,5,9,14.205512836575508
3,3,6,15,18.443891510367393
2,6,2,11,13.70104169845581
9,6,3,9,12.826291158795357
7,5,5,9,13.798896759748459
4,6,4,7,11.812261879444122
4,3,9,9,15.519449070096016
3,4,5,13,15.851935476064682
4,7,2,7,11.221991896629333
12,4,6,11,14.470086187124252
5,3,6,15,17.135421752929688
5,4,8,7,13.555133884491873
7,5,4,11,14.1303700953722
