128,ss_128,256,ss_256,512,ss_512
13,28.076767057180405,8,13.603526845574379,6,6.441118597984314
8,28.827272817492485,9,13.812690451741219,6,6.488236159086227
7,29.64682537317276,3,14.310582607984543,2,6.202263444662094
10,27.954408884048462,6,13.519850194454193,2,6.340110957622528
2,28.884576380252838,1,14.295613393187523,1,6.824782818555832
3,28.344798624515533,1,13.79589495062828,2,6.493303567171097
13,27.583993285894394,5,13.479950189590454,4,6.339573413133621
10,26.588772654533386,8,13.044406041502953,7,6.233391910791397
11,26.785720646381378,6,13.031227052211761,4,6.216737240552902
10,28.826906874775887,7,13.948762357234955,4,6.613040283322334
13,27.2818351238966,8,13.17856028676033,6,6.186067640781403
7,27.793576061725616,3,13.259858846664429,2,6.254492372274399
16,27.865795120596886,7,13.504870250821114,4,6.3959755301475525
18,26.662902399897575,9,13.065131649374962,7,6.199926540255547
4,28.029227316379547,3,13.577364936470985,2,6.418347060680389
8,27.000745221972466,4,13.213355794548988,3,6.293165773153305
7,27.959652483463287,6,13.395425826311111,4,6.302476644515991
6,28.93744106590748,2,13.9014360755682,1,6.441897362470627
14,27.605692863464355,7,13.252809286117554,3,6.251175910234451
12,26.978441655635834,8,13.16050086915493,5,6.255374103784561
14,28.05789403617382,9,13.44744373857975,5,6.348287373781204
12,27.179129362106323,9,13.186112120747566,3,6.248435318470001
14,26.99618200957775,10,12.998613595962524,1,5.917324513196945
5,28.536425605416298,5,13.598346576094627,4,6.21011421084404
7,28.541068583726883,4,13.787289306521416,1,6.523791655898094
10,27.621071815490723,8,13.377178862690926,6,6.369307279586792
3,28.712876841425896,5,13.773733794689178,1,6.41988217830658
15,28.25923617184162,9,13.788766205310822,4,6.529942661523819
5,27.902560338377953,3,13.495938062667847,3,6.349139794707298
6,28.587065383791924,5,13.785810649394989,3,6.453116446733475
11,27.62433822453022,6,13.511330336332321,3,6.351975053548813
10,27.652050107717514,3,13.553649514913559,3,6.382431924343109
11,27.296585336327553,4,13.268031686544418,2,6.222523748874664
19,27.202332481741905,12,13.101576298475266,8,6.222696021199226
9,29.442115604877472,4,14.36820636689663,3,6.752805069088936
16,27.87652949988842,11,13.551131471991539,5,6.386311858892441
7,28.633600875735283,6,13.956735461950302,5,6.603057965636253
5,29.07275542616844,5,14.161050602793694,3,6.6616106033325195
13,26.754570722579956,8,12.960152104496956,4,6.102017760276794
4,26.127765148878098,3,12.639881908893585,3,5.913081020116806
4,29.30731077492237,4,14.210585162043571,2,6.670632690191269
3,29.82042881846428,2,14.77352286875248,1,7.001689285039902
6,29.23448272049427,4,14.127718910574913,1,6.6901052594184875
7,27.969191938638687,3,13.467458814382553,2,6.340804904699326
7,29.01449754834175,3,14.353323966264725,3,6.876272737979889
5,27.485130354762077,4,13.367908164858818,3,6.338501334190369
8,28.080325931310654,4,13.458838015794754,3,6.284572660923004
4,28.904187843203545,4,14.203567564487457,3,6.724708616733551
10,27.480330869555473,6,13.483485519886017,2,6.347043305635452
5,27.263370916247368,5,13.35100269317627,2,6.231537848711014
11,27.92028722167015,5,13.763363018631935,3,6.681636154651642
9,28.086588487029076,8,13.473986387252808,4,6.335894852876663
8,27.68440969288349,4,13.563865587115288,2,6.485799387097359
9,26.910750150680542,3,12.956608474254608,2,6.037909954786301
18,27.024005323648453,11,13.080279663205147,8,6.193205609917641
4,29.314566999673843,4,14.07792280614376,3,6.617743864655495
6,28.430745393037796,5,13.949481427669525,2,6.549942418932915
8,27.83618564903736,6,13.398858979344368,3,6.323366314172745
16,26.689725130796432,11,12.883804723620415,7,6.074581295251846
11,28.258586898446083,7,13.727354650707262,6,6.510272659924714
6,28.561795756220818,3,13.91380000114441,3,6.565692722797394
7,28.623718693852425,3,14.089925616979599,2,6.762616917490959
11,27.89107257127762,9,13.603474378585815,5,6.245682448148727
5,29.067140743136406,2,14.069513589143753,2,6.607607841491699
2,30.733029037714005,1,15.376451432704926,1,7.3826610296964645
7,27.689062252640724,3,13.664020285010338,3,6.528782874345779
10,28.01321369409561,6,13.589617490768433,3,6.385740339756012
